,train_acc,test_acc,AUC,TPR@0.01FPR,threshold@0.01FPR,TPR@0.001FPR,threshold@0.001FPR
citeseer-GraphSAGE_bmia,0.9980 (0.0014),0.7285 (0.0080),0.7338 (0.0129),0.0000 (0.0000),inf (nan),0.0000 (0.0000),inf (nan)
citeseer-GraphSAGE_lset,0.9980 (0.0014),0.7285 (0.0080),0.8124 (0.0120),0.1860 (0.0330),0.6078 (0.0104),0.0475 (0.0478),0.6963 (0.0453)
citeseer-GraphSAGE_lset-offline,0.9980 (0.0014),0.7285 (0.0080),0.8082 (0.0120),0.2455 (0.0228),0.5615 (0.0047),0.0696 (0.0327),0.6608 (0.0372)
citeseer-GraphSAGE_rmia,0.9980 (0.0014),0.7285 (0.0080),0.8124 (0.0120),0.1859 (0.0329),0.8162 (0.0160),0.0475 (0.0478),0.9057 (0.0365)
citeseer-GraphSAGE_rmia-gamma-2,0.9980 (0.0014),0.7285 (0.0080),0.8124 (0.0120),0.1858 (0.0329),0.2651 (0.0273),0.0475 (0.0478),0.6196 (0.1758)
citeseer-GraphSAGE_rmia-offline,0.9980 (0.0014),0.7285 (0.0080),0.8052 (0.0119),0.2329 (0.0216),0.8034 (0.0121),0.0665 (0.0339),0.9031 (0.0239)
citeseer-GraphSAGE_lira,0.9980 (0.0014),0.7285 (0.0080),0.7772 (0.0105),0.1154 (0.0162),15.5751 (3.9215),0.0179 (0.0155),450.2850 (680.1972)
citeseer-GraphSAGE_lira-offline,0.9980 (0.0014),0.7285 (0.0080),0.7775 (0.0078),0.1436 (0.0276),-0.0000 (0.0000),0.0401 (0.0261),-0.0000 (0.0000)
citeseer-GraphSAGE_MLP-attack-0hop,0.9980 (0.0014),0.7285 (0.0080),0.6816 (0.0200),0.0509 (0.0182),1.0407 (0.3746),0.0063 (0.0072),inf (nan)
citeseer-GraphSAGE_MLP-attack-comb,0.9980 (0.0014),0.7285 (0.0080),0.6514 (0.0167),0.0188 (0.0096),3.8339 (1.6064),0.0013 (0.0015),inf (nan)
citeseer-GraphSAGE_confidence,0.9980 (0.0014),0.7285 (0.0080),0.7240 (0.0195),0.0373 (0.0091),0.9605 (0.0048),0.0025 (0.0038),inf (nan)
citeseer-GraphSAGE_graph-lset-MI,0.9980 (0.0014),0.7285 (0.0080),0.8281 (0.0109),0.2007 (0.0352),0.5942 (0.0119),0.0383 (0.0379),0.6998 (0.0387)
citeseer-GraphSAGE_graph-lset-MIA,0.9980 (0.0014),0.7285 (0.0080),0.8508 (0.0083),0.2498 (0.0352),0.5826 (0.0118),0.0365 (0.0205),0.6949 (0.0330)
citeseer-GraphSAGE_graph-lset-MI-offline-0.9,0.9980 (0.0014),0.7285 (0.0080),0.7925 (0.0057),0.1957 (0.0372),0.7304 (0.0270),0.0727 (0.0377),0.8674 (0.0550)
citeseer-GraphSAGE_graph-lset-MI-offline,0.9980 (0.0014),0.7285 (0.0080),0.7769 (0.0080),0.1824 (0.0412),0.7638 (0.0362),0.0690 (0.0388),0.8908 (0.0457)
