,train_acc,test_acc,AUC,TPR@0.01FPR,threshold@0.01FPR,TPR@0.001FPR,threshold@0.001FPR
flickr-GraphSAGE_bmia,0.5644 (0.0152),0.4559 (0.0072),0.5134 (0.0063),0.0000 (0.0000),inf (nan),0.0000 (0.0000),inf (nan)
flickr-GraphSAGE_lset,0.5644 (0.0152),0.4559 (0.0072),0.5274 (0.0050),0.0148 (0.0019),0.7712 (0.0273),0.0021 (0.0005),0.8714 (0.0255)
flickr-GraphSAGE_lset-offline,0.5644 (0.0152),0.4559 (0.0072),0.5257 (0.0052),0.0152 (0.0016),0.7714 (0.0242),0.0023 (0.0008),0.8874 (0.0204)
flickr-GraphSAGE_rmia,0.5644 (0.0152),0.4559 (0.0072),0.5274 (0.0050),0.0148 (0.0020),0.9139 (0.0155),0.0021 (0.0005),0.9637 (0.0093)
flickr-GraphSAGE_rmia-gamma-2,0.5644 (0.0152),0.4559 (0.0072),0.5274 (0.0050),0.0148 (0.0020),0.7575 (0.0529),0.0021 (0.0005),0.9141 (0.0243)
flickr-GraphSAGE_rmia-offline,0.5644 (0.0152),0.4559 (0.0072),0.5258 (0.0053),0.0148 (0.0013),0.9106 (0.0162),0.0021 (0.0008),0.9612 (0.0109)
flickr-GraphSAGE_lira,0.5644 (0.0152),0.4559 (0.0072),0.4998 (0.0052),0.0096 (0.0009),24.4210 (12.6704),0.0011 (0.0005),164.9253 (89.9340)
flickr-GraphSAGE_lira-offline,0.5644 (0.0152),0.4559 (0.0072),0.5229 (0.0050),0.0125 (0.0022),-0.0001 (0.0002),0.0011 (0.0005),-0.0000 (0.0000)
flickr-GraphSAGE_MLP-attack-0hop,0.5644 (0.0152),0.4559 (0.0072),0.4984 (0.0059),0.0102 (0.0013),0.0366 (0.0280),0.0011 (0.0003),0.0676 (0.0411)
flickr-GraphSAGE_MLP-attack-comb,0.5644 (0.0152),0.4559 (0.0072),0.4998 (0.0038),0.0101 (0.0009),1.2872 (1.4884),0.0010 (0.0005),2.4066 (1.7247)
flickr-GraphSAGE_confidence,0.5644 (0.0152),0.4559 (0.0072),0.5148 (0.0065),0.0126 (0.0011),0.8871 (0.0449),0.0015 (0.0004),0.9668 (0.0211)
flickr-GraphSAGE_graph-lset-MI,0.5644 (0.0152),0.4559 (0.0072),0.5724 (0.0116),0.0227 (0.0041),0.6709 (0.0176),0.0037 (0.0011),0.7645 (0.0269)
flickr-GraphSAGE_graph-lset-MIA,0.5644 (0.0152),0.4559 (0.0072),0.5688 (0.0111),0.0220 (0.0036),0.6653 (0.0137),0.0028 (0.0012),0.7702 (0.0237)
flickr-GraphSAGE_graph-lset-MCMC,0.5644 (0.0152),0.4559 (0.0072),0.5526 (0.0092),0.0171 (0.0027),0.8267 (0.0244),0.0027 (0.0010),0.9421 (0.0183)
flickr-GraphSAGE_graph-lset-MI-offline,0.5644 (0.0152),0.4559 (0.0072),0.5757 (0.0120),0.0244 (0.0038),0.6962 (0.0168),0.0046 (0.0017),0.8276 (0.0209)
flickr-GraphSAGE_graph-lset-MI-offline-no-scale,0.5644 (0.0152),0.4559 (0.0072),0.5757 (0.0137),0.0248 (0.0030),0.7241 (0.0130),0.0039 (0.0009),0.8474 (0.0147)
