,train_acc,test_acc,AUC,TPR@0.01FPR,threshold@0.01FPR,TPR@0.001FPR,threshold@0.001FPR
github-GraphSAGE_bmia,0.9257 (0.0000),0.8513 (0.0000),0.5308 (0.0000),0.0000 (0.0000),inf (nan),0.0000 (0.0000),inf (nan)
github-GraphSAGE_lset,0.9257 (0.0000),0.8513 (0.0000),0.5418 (0.0000),0.0206 (0.0000),0.6368 (0.0000),0.0034 (0.0000),0.7189 (0.0000)
github-GraphSAGE_lset-offline,0.9257 (0.0000),0.8513 (0.0000),0.5407 (0.0000),0.0197 (0.0000),0.6638 (0.0000),0.0023 (0.0000),0.7854 (0.0000)
github-GraphSAGE_rmia,0.9257 (0.0000),0.8513 (0.0000),0.5418 (0.0000),0.0206 (0.0000),0.9501 (0.0000),0.0034 (0.0000),0.9767 (0.0000)
github-GraphSAGE_rmia-gamma-2,0.9257 (0.0000),0.8513 (0.0000),0.5418 (0.0000),0.0206 (0.0000),0.2377 (0.0000),0.0034 (0.0000),0.8822 (0.0000)
github-GraphSAGE_rmia-offline,0.9257 (0.0000),0.8513 (0.0000),0.5406 (0.0000),0.0187 (0.0000),0.9610 (0.0000),0.0017 (0.0000),0.9861 (0.0000)
github-GraphSAGE_lira,0.9257 (0.0000),0.8513 (0.0000),0.5097 (0.0000),0.0117 (0.0000),11.4176 (0.0000),0.0003 (0.0000),157.5551 (0.0000)
github-GraphSAGE_lira-offline,0.9257 (0.0000),0.8513 (0.0000),0.5336 (0.0000),0.0140 (0.0000),-0.0000 (0.0000),0.0014 (0.0000),-0.0000 (0.0000)
github-GraphSAGE_MLP-attack-0hop,0.9257 (0.0000),0.8513 (0.0000),0.5064 (0.0000),0.0086 (0.0000),0.0078 (0.0000),0.0013 (0.0000),0.0184 (0.0000)
github-GraphSAGE_MLP-attack-comb,0.9257 (0.0000),0.8513 (0.0000),0.5022 (0.0000),0.0116 (0.0000),0.3169 (0.0000),0.0004 (0.0000),0.4450 (0.0000)
github-GraphSAGE_confidence,0.9257 (0.0000),0.8513 (0.0000),0.5122 (0.0000),0.0100 (0.0000),0.9995 (0.0000),0.0008 (0.0000),1.0000 (0.0000)
github-GraphSAGE_graph-lset-MI,0.9257 (0.0000),0.8513 (0.0000),0.5674 (0.0000),0.0256 (0.0000),0.6231 (0.0000),0.0052 (0.0000),0.7063 (0.0000)
github-GraphSAGE_graph-lset-MIA,0.9257 (0.0000),0.8513 (0.0000),0.5717 (0.0000),0.0265 (0.0000),0.6146 (0.0000),0.0050 (0.0000),0.7055 (0.0000)
github-GraphSAGE_graph-lset-MI-offline,0.9257 (0.0000),0.8513 (0.0000),0.5799 (0.0000),0.0301 (0.0000),0.6619 (0.0000),0.0036 (0.0000),0.8033 (0.0000)
github-GraphSAGE_graph-lset-MI-offline-no-scale,0.9257 (0.0000),0.8513 (0.0000),0.5766 (0.0000),0.0334 (0.0000),0.6767 (0.0000),0.0056 (0.0000),0.8028 (0.0000)
