,train_acc,test_acc,AUC,TPR@0.01FPR,threshold@0.01FPR,TPR@0.001FPR,threshold@0.001FPR
pubmed-GCN_bmia,0.9566 (0.0031),0.8660 (0.0021),0.5562 (0.0048),0.0000 (0.0000),inf (nan),0.0000 (0.0000),inf (nan)
pubmed-GCN_lset,0.9566 (0.0031),0.8660 (0.0021),0.5965 (0.0058),0.0384 (0.0042),0.6556 (0.0073),0.0051 (0.0021),0.8160 (0.0267)
pubmed-GCN_lset-offline,0.9566 (0.0031),0.8660 (0.0021),0.5969 (0.0062),0.0452 (0.0031),0.6040 (0.0070),0.0112 (0.0029),0.7680 (0.0250)
pubmed-GCN_rmia,0.9566 (0.0031),0.8660 (0.0021),0.5965 (0.0058),0.0383 (0.0042),0.9201 (0.0020),0.0051 (0.0021),0.9552 (0.0042)
pubmed-GCN_rmia-gamma-2,0.9566 (0.0031),0.8660 (0.0021),0.5965 (0.0057),0.0384 (0.0042),0.2473 (0.1797),0.0051 (0.0021),0.9286 (0.0092)
pubmed-GCN_rmia-offline,0.9566 (0.0031),0.8660 (0.0021),0.5939 (0.0059),0.0448 (0.0036),0.8894 (0.0021),0.0099 (0.0043),0.9112 (0.0035)
pubmed-GCN_lira,0.9566 (0.0031),0.8660 (0.0021),0.5617 (0.0028),0.0146 (0.0014),16.6752 (1.2819),0.0015 (0.0008),137.9687 (87.4447)
pubmed-GCN_lira-offline,0.9566 (0.0031),0.8660 (0.0021),0.5705 (0.0059),0.0183 (0.0025),-0.0000 (0.0000),0.0016 (0.0008),-0.0000 (0.0000)
pubmed-GCN_MLP-attack-0hop,0.9566 (0.0031),0.8660 (0.0021),0.5273 (0.0048),0.0114 (0.0026),0.1453 (0.0518),0.0014 (0.0009),0.2106 (0.0715)
pubmed-GCN_MLP-attack-comb,0.9566 (0.0031),0.8660 (0.0021),0.5221 (0.0059),0.0106 (0.0018),0.2550 (0.1014),0.0011 (0.0007),0.3893 (0.1352)
pubmed-GCN_confidence,0.9566 (0.0031),0.8660 (0.0021),0.5437 (0.0036),0.0075 (0.0030),inf (nan),0.0000 (0.0000),inf (nan)
pubmed-GCN_graph-lset-MI,0.9566 (0.0031),0.8660 (0.0021),0.6190 (0.0043),0.0456 (0.0053),0.6128 (0.0106),0.0038 (0.0022),0.7703 (0.0414)
pubmed-GCN_graph-lset-MIA,0.9566 (0.0031),0.8660 (0.0021),0.6178 (0.0047),0.0542 (0.0042),0.5893 (0.0038),0.0117 (0.0037),0.6780 (0.0126)
pubmed-GCN_graph-lset-MCMC,0.9566 (0.0031),0.8660 (0.0021),0.6051 (0.0032),0.0400 (0.0032),0.6608 (0.0073),0.0040 (0.0027),0.8751 (0.0567)
pubmed-GCN_graph-lset-MI-offline,0.9566 (0.0031),0.8660 (0.0021),0.6176 (0.0060),0.0414 (0.0045),0.7070 (0.0100),0.0075 (0.0035),0.8812 (0.0319)
pubmed-GCN_graph-lset-MI-offline-no-scale,0.9566 (0.0031),0.8660 (0.0021),0.6127 (0.0074),0.0416 (0.0039),0.7324 (0.0098),0.0082 (0.0028),0.9032 (0.0236)
