,train_acc,test_acc,AUC,TPR@0.01FPR,threshold@0.01FPR,TPR@0.001FPR,threshold@0.001FPR
amazon-photo-GAT_MLP-attack-0hop,0.9969 (0.0000),0.9226 (0.0000),0.5380 (0.0000),0.0188 (0.0000),0.1564 (0.0000),0.0063 (0.0000),0.2533 (0.0000)
amazon-photo-GAT_MLP-attack-comb,0.9969 (0.0000),0.9226 (0.0000),0.5085 (0.0000),0.0058 (0.0000),1.8353 (0.0000),0.0021 (0.0000),3.0242 (0.0000)
amazon-photo-GAT_lira,0.9969 (0.0000),0.9226 (0.0000),0.5865 (0.0000),0.0664 (0.0000),0.8599 (0.0000),0.0303 (0.0000),1.9974 (0.0000)
amazon-photo-GAT_rmia,0.9969 (0.0000),0.9226 (0.0000),0.5615 (0.0000),0.0298 (0.0000),0.9095 (0.0000),0.0063 (0.0000),0.9477 (0.0000)
amazon-photo-GAT_lset,0.9969 (0.0000),0.9226 (0.0000),0.5615 (0.0000),0.0298 (0.0000),0.6482 (0.0000),0.0063 (0.0000),0.7772 (0.0000)
amazon-photo-GAT_graph-lset-MIA,0.9969 (0.0000),0.9226 (0.0000),0.5423 (0.0000),0.0366 (0.0000),0.5357 (0.0000),0.0089 (0.0000),0.6186 (0.0000)
amazon-photo-GAT_lira-offline,0.9969 (0.0000),0.9226 (0.0000),0.5687 (0.0000),0.0513 (0.0000),-0.0196 (0.0000),0.0157 (0.0000),-0.0007 (0.0000)
amazon-photo-GAT_rmia-offline,0.9969 (0.0000),0.9226 (0.0000),0.5564 (0.0000),0.0397 (0.0000),0.8375 (0.0000),0.0146 (0.0000),0.8842 (0.0000)
amazon-photo-GAT_lset-offline,0.9969 (0.0000),0.9226 (0.0000),0.5570 (0.0000),0.0429 (0.0000),0.5323 (0.0000),0.0120 (0.0000),0.6087 (0.0000)
amazon-photo-GAT_graph-lset-MIA-offline,0.9969 (0.0000),0.9226 (0.0000),0.5625 (0.0000),0.0554 (0.0000),0.5643 (0.0000),0.0199 (0.0000),0.7147 (0.0000)
