,train_acc,test_acc,AUC,TPR@0.01FPR,threshold@0.01FPR,TPR@0.001FPR,threshold@0.001FPR
citeseer-GAT_MLP-attack-0hop,0.9275 (0.0033),0.7341 (0.0033),0.7298 (0.0188),0.0457 (0.0144),1.1744 (0.0842),0.0217 (0.0156),1.5114 (0.0762)
citeseer-GAT_MLP-attack-comb,0.9275 (0.0033),0.7341 (0.0033),0.6746 (0.0144),0.0445 (0.0108),1.3495 (0.0111),0.0084 (0.0036),1.9610 (0.1602)
citeseer-GAT_lira,0.9275 (0.0033),0.7341 (0.0033),0.9124 (0.0035),0.4874 (0.0132),1.9286 (0.0518),0.2864 (0.0072),3.9100 (0.2018)
citeseer-GAT_rmia,0.9275 (0.0033),0.7341 (0.0033),0.8473 (0.0023),0.2569 (0.0030),0.8042 (0.0080),0.0632 (0.0391),0.8879 (0.0206)
citeseer-GAT_lset,0.9275 (0.0033),0.7341 (0.0033),0.8473 (0.0023),0.2569 (0.0030),0.5689 (0.0022),0.0632 (0.0391),0.6655 (0.0355)
citeseer-GAT_graph-lset-MIA,0.9275 (0.0033),0.7341 (0.0033),0.8274 (0.0054),0.2623 (0.0144),0.5482 (0.0034),0.1432 (0.0000),0.5829 (0.0013)
citeseer-GAT_lira-offline,0.9275 (0.0033),0.7341 (0.0033),0.8706 (0.0048),0.4681 (0.0181),-0.0160 (0.0011),0.2641 (0.0343),-0.0016 (0.0010)
citeseer-GAT_rmia-offline,0.9275 (0.0033),0.7341 (0.0033),0.8345 (0.0093),0.3201 (0.0144),0.7446 (0.0083),0.1757 (0.0036),0.8057 (0.0000)
citeseer-GAT_lset-offline,0.9275 (0.0033),0.7341 (0.0033),0.8499 (0.0107),0.3195 (0.0391),0.5396 (0.0091),0.1498 (0.0223),0.5976 (0.0120)
citeseer-GAT_graph-lset-MIA-offline,0.9275 (0.0033),0.7341 (0.0033),0.7909 (0.0037),0.2172 (0.0078),0.6384 (0.0094),0.0758 (0.0060),0.7584 (0.0159)
