,train_acc,test_acc,AUC,TPR@0.01FPR,threshold@0.01FPR,TPR@0.001FPR,threshold@0.001FPR
flickr-GCN_MLP-attack-0hop,0.5550 (0.0000),0.4780 (0.0000),0.5027 (0.0000),0.0105 (0.0000),0.0174 (0.0000),0.0025 (0.0000),0.0202 (0.0000)
flickr-GCN_MLP-attack-comb,0.5550 (0.0000),0.4780 (0.0000),0.5008 (0.0000),0.0139 (0.0000),0.0316 (0.0000),0.0020 (0.0000),0.0390 (0.0000)
flickr-GCN_lira,0.5550 (0.0000),0.4780 (0.0000),0.5564 (0.0000),0.0206 (0.0000),0.8343 (0.0000),0.0040 (0.0000),1.4614 (0.0000)
flickr-GCN_rmia,0.5550 (0.0000),0.4780 (0.0000),0.5607 (0.0000),0.0164 (0.0000),0.7253 (0.0000),0.0020 (0.0000),0.8070 (0.0000)
flickr-GCN_lset,0.5550 (0.0000),0.4780 (0.0000),0.5607 (0.0000),0.0164 (0.0000),0.8220 (0.0000),0.0020 (0.0000),0.9214 (0.0000)
flickr-GCN_graph-lset-MI,0.5550 (0.0000),0.4780 (0.0000),0.5768 (0.0000),0.0269 (0.0000),0.6025 (0.0000),0.0025 (0.0000),0.6942 (0.0000)
flickr-GCN_lira-offline,0.5550 (0.0000),0.4780 (0.0000),0.5647 (0.0000),0.0152 (0.0000),-0.0136 (0.0000),0.0029 (0.0000),-0.0016 (0.0000)
flickr-GCN_rmia-offline,0.5550 (0.0000),0.4780 (0.0000),0.5623 (0.0000),0.0197 (0.0000),0.7440 (0.0000),0.0027 (0.0000),0.8337 (0.0000)
flickr-GCN_lset-offline,0.5550 (0.0000),0.4780 (0.0000),0.5599 (0.0000),0.0168 (0.0000),0.7665 (0.0000),0.0027 (0.0000),0.8955 (0.0000)
flickr-GCN_graph-lset-MI-offline,0.5550 (0.0000),0.4780 (0.0000),0.5820 (0.0000),0.0222 (0.0000),0.6093 (0.0000),0.0049 (0.0000),0.6948 (0.0000)
