,train_acc,test_acc,AUC,TPR@0.01FPR,threshold@0.01FPR,TPR@0.001FPR,threshold@0.001FPR
pubmed-GraphSAGE_MLP-attack-0hop,0.9635 (0.0023),0.8729 (0.0037),0.5083 (0.0083),0.0106 (0.0035),0.0364 (0.0223),0.0011 (0.0009),0.0484 (0.0244)
pubmed-GraphSAGE_MLP-attack-comb,0.9635 (0.0023),0.8729 (0.0037),0.5106 (0.0112),0.0116 (0.0022),0.1190 (0.0296),0.0010 (0.0007),0.2520 (0.0613)
pubmed-GraphSAGE_lira,0.9635 (0.0023),0.8729 (0.0037),0.5658 (0.0094),0.0337 (0.0050),1.1397 (0.0924),0.0112 (0.0044),2.2862 (0.4368)
pubmed-GraphSAGE_rmia,0.9635 (0.0023),0.8729 (0.0037),0.5747 (0.0078),0.0335 (0.0054),0.9423 (0.0035),0.0065 (0.0023),0.9776 (0.0046)
pubmed-GraphSAGE_lset,0.9635 (0.0023),0.8729 (0.0037),0.5747 (0.0078),0.0335 (0.0054),0.5971 (0.0057),0.0065 (0.0023),0.6934 (0.0227)
pubmed-GraphSAGE_graph-lset-MIA,0.9635 (0.0023),0.8729 (0.0037),0.6311 (0.0105),0.0557 (0.0092),0.5786 (0.0066),0.0139 (0.0061),0.6482 (0.0290)
pubmed-GraphSAGE_lira-offline,0.9635 (0.0023),0.8729 (0.0037),0.5607 (0.0098),0.0238 (0.0056),-0.0112 (0.0046),0.0042 (0.0019),-0.0010 (0.0008)
pubmed-GraphSAGE_rmia-offline,0.9635 (0.0023),0.8729 (0.0037),0.5727 (0.0090),0.0336 (0.0051),0.9582 (0.0050),0.0092 (0.0033),0.9843 (0.0046)
pubmed-GraphSAGE_lset-offline,0.9635 (0.0023),0.8729 (0.0037),0.5736 (0.0104),0.0338 (0.0050),0.6012 (0.0152),0.0091 (0.0030),0.7018 (0.0363)
pubmed-GraphSAGE_graph-lset-MIA-offline,0.9635 (0.0023),0.8729 (0.0037),0.6377 (0.0087),0.0650 (0.0076),0.6175 (0.0076),0.0215 (0.0093),0.7241 (0.0371)
