,train_acc,test_acc,AUC,TPR@0.01FPR,threshold@0.01FPR,TPR@0.001FPR,threshold@0.001FPR
pubmed-GraphSAGE_MLP-attack-0hop,0.9637 (0.0000),0.8796 (0.0000),0.5097 (0.0000),0.0066 (0.0000),0.0488 (0.0000),0.0005 (0.0000),0.0788 (0.0000)
pubmed-GraphSAGE_MLP-attack-comb,0.9637 (0.0000),0.8796 (0.0000),0.4944 (0.0000),0.0117 (0.0000),0.1413 (0.0000),0.0000 (0.0000),0.2476 (0.0000)
pubmed-GraphSAGE_lira,0.9637 (0.0000),0.8796 (0.0000),0.5527 (0.0000),0.0386 (0.0000),1.0616 (0.0000),0.0096 (0.0000),2.4071 (0.0000)
pubmed-GraphSAGE_rmia,0.9637 (0.0000),0.8796 (0.0000),0.5657 (0.0000),0.0269 (0.0000),0.9390 (0.0000),0.0056 (0.0000),0.9775 (0.0000)
pubmed-GraphSAGE_lset,0.9637 (0.0000),0.8796 (0.0000),0.5657 (0.0000),0.0269 (0.0000),0.5924 (0.0000),0.0056 (0.0000),0.6901 (0.0000)
pubmed-GraphSAGE_graph-lset-MIA,0.9637 (0.0000),0.8796 (0.0000),0.6235 (0.0000),0.0558 (0.0000),0.5837 (0.0000),0.0183 (0.0000),0.6319 (0.0000)
pubmed-GraphSAGE_lira-offline,0.9637 (0.0000),0.8796 (0.0000),0.5481 (0.0000),0.0167 (0.0000),-0.0061 (0.0000),0.0020 (0.0000),-0.0004 (0.0000)
pubmed-GraphSAGE_rmia-offline,0.9637 (0.0000),0.8796 (0.0000),0.5603 (0.0000),0.0294 (0.0000),0.9551 (0.0000),0.0081 (0.0000),0.9822 (0.0000)
pubmed-GraphSAGE_lset-offline,0.9637 (0.0000),0.8796 (0.0000),0.5622 (0.0000),0.0304 (0.0000),0.6107 (0.0000),0.0096 (0.0000),0.7032 (0.0000)
pubmed-GraphSAGE_graph-lset-MIA-offline,0.9637 (0.0000),0.8796 (0.0000),0.6318 (0.0000),0.0624 (0.0000),0.6184 (0.0000),0.0203 (0.0000),0.7168 (0.0000)
