,FPR_lset-cora-GCN,TPR_lset-cora-GCN,FPR_strong-lset-cora-GCN,TPR_strong-lset-cora-GCN,FPR_strong-graph-lset-cora-GCN,TPR_strong-graph-lset-cora-GCN
0,0.0,0.0,,,,
1,0.0,0.004,,,,
2,0.0,0.112,,,,
3,0.004,0.112,,,,
4,0.004,0.14,,,,
5,0.008,0.14,,,,
6,0.008,0.164,,,,
7,0.012,0.164,,,,
8,0.012,0.176,,,,
9,0.016,0.176,,,,
10,0.016,0.268,,,,
11,0.02,0.268,,,,
12,0.02,0.292,,,,
13,0.024,0.292,,,,
14,0.024,0.336,,,,
15,0.028,0.336,,,,
16,0.028,0.388,,,,
17,0.032,0.388,,,,
18,0.032,0.392,,,,
19,0.036,0.392,,,,
20,0.036,0.42,,,,
21,0.044,0.42,,,,
22,0.044,0.428,,,,
23,0.056,0.428,,,,
24,0.056,0.44,,,,
25,0.06,0.44,,,,
26,0.06,0.452,,,,
27,0.064,0.452,,,,
28,0.064,0.456,,,,
29,0.068,0.456,,,,
30,0.068,0.484,,,,
31,0.072,0.484,,,,
32,0.072,0.488,,,,
33,0.076,0.488,,,,
34,0.076,0.508,,,,
35,0.08,0.508,,,,
36,0.08,0.516,,,,
37,0.084,0.516,,,,
38,0.084,0.536,,,,
39,0.088,0.536,,,,
40,0.088,0.544,,,,
41,0.092,0.544,,,,
42,0.092,0.572,,,,
43,0.1,0.572,,,,
44,0.1,0.576,,,,
45,0.104,0.576,,,,
46,0.104,0.58,,,,
47,0.108,0.58,,,,
48,0.108,0.588,,,,
49,0.112,0.588,,,,
50,0.112,0.604,,,,
51,0.116,0.604,,,,
52,0.116,0.616,,,,
53,0.12,0.62,,,,
54,0.12,0.632,,,,
55,0.124,0.632,,,,
56,0.124,0.652,,,,
57,0.132,0.652,,,,
58,0.132,0.66,,,,
59,0.136,0.66,,,,
60,0.136,0.668,,,,
61,0.148,0.668,,,,
62,0.148,0.672,,,,
63,0.152,0.672,,,,
64,0.152,0.68,,,,
65,0.156,0.68,,,,
66,0.156,0.684,,,,
67,0.172,0.684,,,,
68,0.172,0.692,,,,
69,0.176,0.692,,,,
70,0.176,0.696,,,,
71,0.18,0.696,,,,
72,0.18,0.704,,,,
73,0.188,0.704,,,,
74,0.188,0.72,,,,
75,0.192,0.72,,,,
76,0.192,0.724,,,,
77,0.2,0.724,,,,
78,0.2,0.728,,,,
79,0.204,0.728,,,,
80,0.204,0.744,,,,
81,0.212,0.744,,,,
82,0.212,0.752,,,,
83,0.216,0.752,,,,
84,0.216,0.768,,,,
85,0.22,0.768,,,,
86,0.22,0.772,,,,
87,0.224,0.772,,,,
88,0.224,0.776,,,,
89,0.228,0.776,,,,
90,0.228,0.78,,,,
91,0.232,0.78,,,,
92,0.232,0.784,,,,
93,0.236,0.784,,,,
94,0.236,0.792,,,,
95,0.244,0.792,,,,
96,0.244,0.796,,,,
97,0.248,0.796,,,,
98,0.248,0.8,,,,
99,0.264,0.8,,,,
100,0.264,0.804,,,,
101,0.268,0.804,,,,
102,0.268,0.808,,,,
103,0.284,0.808,,,,
104,0.284,0.812,,,,
105,0.304,0.812,,,,
106,0.304,0.824,,,,
107,0.308,0.824,,,,
108,0.308,0.828,,,,
109,0.332,0.828,,,,
110,0.332,0.832,,,,
111,0.336,0.832,,,,
112,0.336,0.836,,,,
113,0.348,0.836,,,,
114,0.348,0.84,,,,
115,0.352,0.84,,,,
116,0.352,0.848,,,,
117,0.368,0.848,,,,
118,0.368,0.852,,,,
119,0.376,0.852,,,,
120,0.376,0.856,,,,
121,0.384,0.856,,,,
122,0.384,0.86,,,,
123,0.4,0.86,,,,
124,0.4,0.868,,,,
125,0.424,0.868,,,,
126,0.424,0.876,,,,
127,0.464,0.876,,,,
128,0.464,0.88,,,,
129,0.496,0.88,,,,
130,0.496,0.884,,,,
131,0.512,0.884,,,,
132,0.512,0.888,,,,
133,0.52,0.888,,,,
134,0.52,0.892,,,,
135,0.524,0.892,,,,
136,0.524,0.9,,,,
137,0.536,0.9,,,,
138,0.536,0.904,,,,
139,0.54,0.904,,,,
140,0.54,0.908,,,,
141,0.588,0.908,,,,
142,0.588,0.912,,,,
143,0.608,0.912,,,,
144,0.608,0.916,,,,
145,0.668,0.916,,,,
146,0.668,0.924,,,,
147,0.688,0.924,,,,
148,0.688,0.928,,,,
149,0.692,0.928,,,,
150,0.692,0.932,,,,
151,0.708,0.932,,,,
152,0.708,0.936,,,,
153,0.712,0.936,,,,
154,0.712,0.944,,,,
155,0.728,0.944,,,,
156,0.728,0.948,,,,
157,0.732,0.948,,,,
158,0.732,0.956,,,,
159,0.748,0.956,,,,
160,0.748,0.964,,,,
161,0.78,0.964,,,,
162,0.78,0.968,,,,
163,0.784,0.968,,,,
164,0.784,0.972,,,,
165,0.832,0.972,,,,
166,0.832,0.976,,,,
167,0.852,0.976,,,,
168,0.852,0.98,,,,
169,0.932,0.98,,,,
170,0.932,0.984,,,,
171,0.948,0.984,,,,
172,0.948,0.988,,,,
173,0.956,0.988,,,,
174,0.956,0.996,,,,
175,0.988,0.996,,,,
176,0.988,1.0,,,,
177,1.0,1.0,,,,
0,,,0.0,0.0,,
1,,,0.0,0.004,,
2,,,0.0,0.168,,
3,,,0.004,0.168,,
4,,,0.004,0.196,,
5,,,0.008,0.196,,
6,,,0.008,0.216,,
7,,,0.012,0.216,,
8,,,0.012,0.26,,
9,,,0.016,0.26,,
10,,,0.016,0.304,,
11,,,0.02,0.304,,
12,,,0.02,0.312,,
