,FPR_0_cora-GCN_lset,TPR_0_cora-GCN_lset,FPR_1_cora-GCN_lset,TPR_1_cora-GCN_lset,FPR_2_cora-GCN_lset,TPR_2_cora-GCN_lset,FPR_3_cora-GCN_lset,TPR_3_cora-GCN_lset,FPR_4_cora-GCN_lset,TPR_4_cora-GCN_lset,FPR_0_cora-GCN_strong-lset-in,TPR_0_cora-GCN_strong-lset-in,FPR_1_cora-GCN_strong-lset-in,TPR_1_cora-GCN_strong-lset-in,FPR_2_cora-GCN_strong-lset-in,TPR_2_cora-GCN_strong-lset-in,FPR_3_cora-GCN_strong-lset-in,TPR_3_cora-GCN_strong-lset-in,FPR_4_cora-GCN_strong-lset-in,TPR_4_cora-GCN_strong-lset-in,FPR_0_cora-GCN_strong-lset-out,TPR_0_cora-GCN_strong-lset-out,FPR_1_cora-GCN_strong-lset-out,TPR_1_cora-GCN_strong-lset-out,FPR_2_cora-GCN_strong-lset-out,TPR_2_cora-GCN_strong-lset-out,FPR_3_cora-GCN_strong-lset-out,TPR_3_cora-GCN_strong-lset-out,FPR_4_cora-GCN_strong-lset-out,TPR_4_cora-GCN_strong-lset-out,FPR_0_cora-GCN_strong-graph-lset-in,TPR_0_cora-GCN_strong-graph-lset-in,FPR_1_cora-GCN_strong-graph-lset-in,TPR_1_cora-GCN_strong-graph-lset-in,FPR_2_cora-GCN_strong-graph-lset-in,TPR_2_cora-GCN_strong-graph-lset-in,FPR_3_cora-GCN_strong-graph-lset-in,TPR_3_cora-GCN_strong-graph-lset-in,FPR_4_cora-GCN_strong-graph-lset-in,TPR_4_cora-GCN_strong-graph-lset-in,FPR_0_cora-GCN_strong-graph-lset-out,TPR_0_cora-GCN_strong-graph-lset-out,FPR_1_cora-GCN_strong-graph-lset-out,TPR_1_cora-GCN_strong-graph-lset-out,FPR_2_cora-GCN_strong-graph-lset-out,TPR_2_cora-GCN_strong-graph-lset-out,FPR_3_cora-GCN_strong-graph-lset-out,TPR_3_cora-GCN_strong-graph-lset-out,FPR_4_cora-GCN_strong-graph-lset-out,TPR_4_cora-GCN_strong-graph-lset-out
0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.0,0.004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.0,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.004,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.004,0.136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.008,0.136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.008,0.164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.016,0.164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.016,0.176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.02,0.176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.02,0.188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0.024,0.188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0.024,0.236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0.028,0.236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0.028,0.248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,0.032,0.248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,0.032,0.252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,0.036,0.252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,0.036,0.308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,0.044,0.308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,0.044,0.316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,0.048,0.316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,0.048,0.324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,0.052,0.324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,0.052,0.332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,0.056,0.332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,0.056,0.348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,0.06,0.348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,0.06,0.364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
