,FPR_0_cora-GCN_lset,TPR_0_cora-GCN_lset,FPR_1_cora-GCN_lset,TPR_1_cora-GCN_lset,FPR_2_cora-GCN_lset,TPR_2_cora-GCN_lset,FPR_3_cora-GCN_lset,TPR_3_cora-GCN_lset,FPR_4_cora-GCN_lset,TPR_4_cora-GCN_lset,FPR_0_cora-GCN_improved-lset,TPR_0_cora-GCN_improved-lset,FPR_1_cora-GCN_improved-lset,TPR_1_cora-GCN_improved-lset,FPR_2_cora-GCN_improved-lset,TPR_2_cora-GCN_improved-lset,FPR_3_cora-GCN_improved-lset,TPR_3_cora-GCN_improved-lset,FPR_4_cora-GCN_improved-lset,TPR_4_cora-GCN_improved-lset
0,0.0,0.0,,,,,,,,,,,,,,,,,,
1,0.0,0.01,,,,,,,,,,,,,,,,,,
2,0.0,0.19,,,,,,,,,,,,,,,,,,
3,0.01,0.19,,,,,,,,,,,,,,,,,,
4,0.01,0.23,,,,,,,,,,,,,,,,,,
5,0.02,0.23,,,,,,,,,,,,,,,,,,
6,0.02,0.24,,,,,,,,,,,,,,,,,,
7,0.03,0.24,,,,,,,,,,,,,,,,,,
8,0.03,0.27,,,,,,,,,,,,,,,,,,
9,0.04,0.27,,,,,,,,,,,,,,,,,,
10,0.04,0.34,,,,,,,,,,,,,,,,,,
11,0.07,0.34,,,,,,,,,,,,,,,,,,
12,0.07,0.36,,,,,,,,,,,,,,,,,,
13,0.09,0.36,,,,,,,,,,,,,,,,,,
14,0.09,0.37,,,,,,,,,,,,,,,,,,
15,0.1,0.37,,,,,,,,,,,,,,,,,,
16,0.1,0.39,,,,,,,,,,,,,,,,,,
17,0.11,0.39,,,,,,,,,,,,,,,,,,
18,0.11,0.4,,,,,,,,,,,,,,,,,,
19,0.13,0.4,,,,,,,,,,,,,,,,,,
20,0.13,0.42,,,,,,,,,,,,,,,,,,
21,0.15,0.42,,,,,,,,,,,,,,,,,,
22,0.15,0.49,,,,,,,,,,,,,,,,,,
23,0.16,0.49,,,,,,,,,,,,,,,,,,
24,0.16,0.55,,,,,,,,,,,,,,,,,,
25,0.19,0.55,,,,,,,,,,,,,,,,,,
26,0.19,0.58,,,,,,,,,,,,,,,,,,
27,0.2,0.58,,,,,,,,,,,,,,,,,,
28,0.2,0.64,,,,,,,,,,,,,,,,,,
29,0.21,0.64,,,,,,,,,,,,,,,,,,
30,0.21,0.65,,,,,,,,,,,,,,,,,,
31,0.25,0.65,,,,,,,,,,,,,,,,,,
32,0.25,0.67,,,,,,,,,,,,,,,,,,
33,0.26,0.67,,,,,,,,,,,,,,,,,,
34,0.26,0.68,,,,,,,,,,,,,,,,,,
35,0.27,0.68,,,,,,,,,,,,,,,,,,
36,0.27,0.7,,,,,,,,,,,,,,,,,,
37,0.28,0.7,,,,,,,,,,,,,,,,,,
38,0.28,0.73,,,,,,,,,,,,,,,,,,
39,0.31,0.73,,,,,,,,,,,,,,,,,,
40,0.31,0.74,,,,,,,,,,,,,,,,,,
41,0.32,0.74,,,,,,,,,,,,,,,,,,
42,0.32,0.75,,,,,,,,,,,,,,,,,,
43,0.33,0.75,,,,,,,,,,,,,,,,,,
44,0.33,0.77,,,,,,,,,,,,,,,,,,
45,0.34,0.77,,,,,,,,,,,,,,,,,,
46,0.34,0.81,,,,,,,,,,,,,,,,,,
47,0.35,0.81,,,,,,,,,,,,,,,,,,
48,0.35,0.83,,,,,,,,,,,,,,,,,,
49,0.37,0.83,,,,,,,,,,,,,,,,,,
50,0.37,0.84,,,,,,,,,,,,,,,,,,
51,0.43,0.84,,,,,,,,,,,,,,,,,,
52,0.43,0.87,,,,,,,,,,,,,,,,,,
53,0.47,0.87,,,,,,,,,,,,,,,,,,
54,0.47,0.88,,,,,,,,,,,,,,,,,,
55,0.51,0.88,,,,,,,,,,,,,,,,,,
56,0.51,0.9,,,,,,,,,,,,,,,,,,
57,0.54,0.9,,,,,,,,,,,,,,,,,,
58,0.54,0.91,,,,,,,,,,,,,,,,,,
59,0.73,0.91,,,,,,,,,,,,,,,,,,
60,0.73,0.93,,,,,,,,,,,,,,,,,,
61,0.77,0.93,,,,,,,,,,,,,,,,,,
62,0.77,0.95,,,,,,,,,,,,,,,,,,
63,0.79,0.95,,,,,,,,,,,,,,,,,,
64,0.79,0.96,,,,,,,,,,,,,,,,,,
65,0.8,0.96,,,,,,,,,,,,,,,,,,
66,0.8,0.97,,,,,,,,,,,,,,,,,,
67,0.81,0.97,,,,,,,,,,,,,,,,,,
68,0.81,0.98,,,,,,,,,,,,,,,,,,
69,0.83,0.98,,,,,,,,,,,,,,,,,,
70,0.83,0.99,,,,,,,,,,,,,,,,,,
71,0.9,0.99,,,,,,,,,,,,,,,,,,
72,0.9,1.0,,,,,,,,,,,,,,,,,,
73,1.0,1.0,,,,,,,,,,,,,,,,,,
0,,,0.0,0.0,,,,,,,,,,,,,,,,
1,,,0.0,0.01,,,,,,,,,,,,,,,,
2,,,0.0,0.18,,,,,,,,,,,,,,,,
3,,,0.02,0.18,,,,,,,,,,,,,,,,
4,,,0.02,0.23,,,,,,,,,,,,,,,,
5,,,0.03,0.23,,,,,,,,,,,,,,,,
6,,,0.03,0.3,,,,,,,,,,,,,,,,
7,,,0.04,0.3,,,,,,,,,,,,,,,,
8,,,0.04,0.32,,,,,,,,,,,,,,,,
9,,,0.05,0.32,,,,,,,,,,,,,,,,
10,,,0.05,0.33,,,,,,,,,,,,,,,,
11,,,0.06,0.33,,,,,,,,,,,,,,,,
12,,,0.06,0.34,,,,,,,,,,,,,,,,
13,,,0.07,0.34,,,,,,,,,,,,,,,,
14,,,0.07,0.49,,,,,,,,,,,,,,,,
15,,,0.09,0.49,,,,,,,,,,,,,,,,
16,,,0.09,0.5,,,,,,,,,,,,,,,,
17,,,0.11,0.5,,,,,,,,,,,,,,,,
18,,,0.11,0.51,,,,,,,,,,,,,,,,
19,,,0.12,0.51,,,,,,,,,,,,,,,,
20,,,0.12,0.52,,,,,,,,,,,,,,,,
21,,,0.13,0.52,,,,,,,,,,,,,,,,
22,,,0.13,0.53,,,,,,,,,,,,,,,,
23,,,0.14,0.53,,,,,,,,,,,,,,,,
24,,,0.14,0.56,,,,,,,,,,,,,,,,
25,,,0.15,0.56,,,,,,,,,,,,,,,,
26,,,0.15,0.59,,,,,,,,,,,,,,,,
27,,,0.17,0.59,,,,,,,,,,,,,,,,
28,,,0.17,0.6,,,,,,,,,,,,,,,,
29,,,0.19,0.6,,,,,,,,,,,,,,,,
30,,,0.19,0.61,,,,,,,,,,,,,,,,
31,,,0.23,0.61,,,,,,,,,,,,,,,,
32,,,0.23,0.62,,,,,,,,,,,,,,,,
33,,,0.26,0.62,,,,,,,,,,,,,,,,
34,,,0.26,0.65,,,,,,,,,,,,,,,,
35,,,0.3,0.65,,,,,,,,,,,,,,,,
36,,,0.3,0.66,,,,,,,,,,,,,,,,
37,,,0.31,0.66,,,,,,,,,,,,,,,,
38,,,0.31,0.67,,,,,,,,,,,,,,,,
39,,,0.32,0.67,,,,,,,,,,,,,,,,
40,,,0.32,0.7,,,,,,,,,,,,,,,,
41,,,0.33,0.7,,,,,,,,,,,,,,,,
42,,,0.33,0.72,,,,,,,,,,,,,,,,
43,,,0.36,0.72,,,,,,,,,,,,,,,,
44,,,0.36,0.76,,,,,,,,,,,,,,,,
45,,,0.37,0.76,,,,,,,,,,,,,,,,
46,,,0.37,0.78,,,,,,,,,,,,,,,,
47,,,0.38,0.78,,,,,,,,,,,,,,,,
48,,,0.38,0.84,,,,,,,,,,,,,,,,
49,,,0.39,0.84,,,,,,,,,,,,,,,,
50,,,0.39,0.85,,,,,,,,,,,,,,,,
51,,,0.42,0.85,,,,,,,,,,,,,,,,
52,,,0.42,0.86,,,,,,,,,,,,,,,,
53,,,0.44,0.86,,,,,,,,,,,,,,,,
54,,,0.44,0.87,,,,,,,,,,,,,,,,
55,,,0.48,0.87,,,,,,,,,,,,,,,,
