,train_acc,test_acc,AUC,TPR@0.01FPR,threshold@0.01FPR,TPR@0.001FPR,threshold@0.001FPR
amazon-photo-GAT_MLP-attack-0hop,0.9974 (0.0000),0.9145 (0.0000),0.5508 (0.0000),0.0146 (0.0000),0.3249 (0.0000),0.0026 (0.0000),0.5630 (0.0000)
amazon-photo-GAT_MLP-attack-comb,0.9974 (0.0000),0.9145 (0.0000),0.5210 (0.0000),0.0120 (0.0000),1.5084 (0.0000),0.0005 (0.0000),2.9401 (0.0000)
amazon-photo-GAT_lira,0.9974 (0.0000),0.9145 (0.0000),0.5895 (0.0000),0.0549 (0.0000),1.5634 (0.0000),0.0298 (0.0000),2.9567 (0.0000)
amazon-photo-GAT_rmia,0.9974 (0.0000),0.9145 (0.0000),0.5739 (0.0000),0.0220 (0.0000),0.9178 (0.0000),0.0026 (0.0000),0.9493 (0.0000)
amazon-photo-GAT_lset,0.9974 (0.0000),0.9145 (0.0000),0.5739 (0.0000),0.0220 (0.0000),0.7047 (0.0000),0.0026 (0.0000),0.8261 (0.0000)
amazon-photo-GAT_graph-lset-MIA,0.9974 (0.0000),0.9145 (0.0000),0.5458 (0.0000),0.0455 (0.0000),0.5341 (0.0000),0.0146 (0.0000),0.5998 (0.0000)
amazon-photo-GAT_lira-offline,0.9974 (0.0000),0.9145 (0.0000),0.5827 (0.0000),0.0502 (0.0000),-0.0071 (0.0000),0.0220 (0.0000),-0.0004 (0.0000)
amazon-photo-GAT_rmia-offline,0.9974 (0.0000),0.9145 (0.0000),0.5769 (0.0000),0.0387 (0.0000),0.8598 (0.0000),0.0089 (0.0000),0.9052 (0.0000)
amazon-photo-GAT_lset-offline,0.9974 (0.0000),0.9145 (0.0000),0.5803 (0.0000),0.0377 (0.0000),0.5874 (0.0000),0.0115 (0.0000),0.7048 (0.0000)
amazon-photo-GAT_graph-lset-MIA-offline,0.9974 (0.0000),0.9145 (0.0000),0.5545 (0.0000),0.0539 (0.0000),0.5699 (0.0000),0.0199 (0.0000),0.6974 (0.0000)
