,train_acc,test_acc,AUC,TPR@0.01FPR,threshold@0.01FPR,TPR@0.001FPR,threshold@0.001FPR
citeseer-GAT_MLP-attack-0hop,0.9215 (0.0033),0.7347 (0.0033),0.7419 (0.0086),0.0481 (0.0036),1.2389 (0.0446),0.0078 (0.0018),1.8575 (0.1583)
citeseer-GAT_MLP-attack-comb,0.9215 (0.0033),0.7347 (0.0033),0.6911 (0.0170),0.0451 (0.0030),1.1387 (0.1535),0.0156 (0.0012),1.7482 (0.0970)
citeseer-GAT_lira,0.9215 (0.0033),0.7347 (0.0033),0.9161 (0.0025),0.4651 (0.0078),2.0589 (0.3090),0.2022 (0.0505),5.3829 (0.5902)
citeseer-GAT_rmia,0.9215 (0.0033),0.7347 (0.0033),0.8478 (0.0140),0.2022 (0.0193),0.8299 (0.0061),0.0903 (0.0385),0.8746 (0.0213)
citeseer-GAT_lset,0.9215 (0.0033),0.7347 (0.0033),0.8478 (0.0140),0.2022 (0.0193),0.5899 (0.0054),0.0903 (0.0385),0.6457 (0.0318)
citeseer-GAT_graph-lset-MIA,0.9215 (0.0033),0.7347 (0.0033),0.8360 (0.0020),0.2431 (0.0012),0.5540 (0.0045),0.0614 (0.0048),0.6294 (0.0023)
citeseer-GAT_lira-offline,0.9215 (0.0033),0.7347 (0.0033),0.8717 (0.0025),0.4386 (0.0042),-0.0132 (0.0023),0.2118 (0.0373),-0.0004 (0.0001)
citeseer-GAT_rmia-offline,0.9215 (0.0033),0.7347 (0.0033),0.8384 (0.0061),0.2702 (0.0006),0.7942 (0.0024),0.1372 (0.0120),0.8512 (0.0052)
citeseer-GAT_lset-offline,0.9215 (0.0033),0.7347 (0.0033),0.8524 (0.0037),0.2744 (0.0000),0.5431 (0.0032),0.0957 (0.0114),0.6234 (0.0048)
citeseer-GAT_graph-lset-MIA-offline,0.9215 (0.0033),0.7347 (0.0033),0.8005 (0.0030),0.2022 (0.0072),0.6431 (0.0089),0.0878 (0.0193),0.7469 (0.0285)
