,train_acc,test_acc,AUC,TPR@0.01FPR,threshold@0.01FPR,TPR@0.001FPR,threshold@0.001FPR
cora-GCN_MLP-attack-0hop,0.9592 (0.0048),0.8126 (0.0123),0.7228 (0.0178),0.0437 (0.0157),0.9546 (0.1035),0.0121 (0.0079),1.2853 (0.1950)
cora-GCN_MLP-attack-comb,0.9592 (0.0048),0.8126 (0.0123),0.6686 (0.0152),0.0270 (0.0110),1.2078 (0.3017),0.0059 (0.0050),inf (nan)
cora-GCN_lira,0.9592 (0.0048),0.8126 (0.0123),0.8923 (0.0073),0.3552 (0.0483),2.2207 (0.3549),0.2030 (0.0480),3.7634 (0.6722)
cora-GCN_rmia,0.9592 (0.0048),0.8126 (0.0123),0.8270 (0.0102),0.1979 (0.0307),0.8407 (0.0082),0.0679 (0.0528),0.8866 (0.0194)
cora-GCN_lset,0.9592 (0.0048),0.8126 (0.0123),0.8270 (0.0102),0.1979 (0.0307),0.5870 (0.0096),0.0679 (0.0528),0.6633 (0.0372)
cora-GCN_graph-lset-MIA,0.9592 (0.0048),0.8126 (0.0123),0.7842 (0.0101),0.1916 (0.0289),0.5428 (0.0053),0.0904 (0.0334),0.5794 (0.0189)
cora-GCN_lira-offline,0.9592 (0.0048),0.8126 (0.0123),0.8598 (0.0102),0.3350 (0.0379),-0.0131 (0.0039),0.1973 (0.0435),-0.0025 (0.0018)
cora-GCN_rmia-offline,0.9592 (0.0048),0.8126 (0.0123),0.8080 (0.0147),0.1985 (0.0323),0.8092 (0.0095),0.1264 (0.0361),0.8343 (0.0107)
cora-GCN_lset-offline,0.9592 (0.0048),0.8126 (0.0123),0.8150 (0.0163),0.2205 (0.0420),0.5240 (0.0064),0.1323 (0.0370),0.5460 (0.0121)
cora-GCN_graph-lset-MIA-offline,0.9592 (0.0048),0.8126 (0.0123),0.7717 (0.0104),0.1388 (0.0255),0.6333 (0.0217),0.0567 (0.0309),0.7343 (0.0601)
