,train_acc,test_acc,AUC,TPR@0.01FPR,threshold@0.01FPR,TPR@0.001FPR,threshold@0.001FPR
flickr-GCN_MLP-attack-0hop,0.5679 (0.0000),0.4744 (0.0000),0.4993 (0.0000),0.0134 (0.0000),0.0065 (0.0000),0.0018 (0.0000),0.0092 (0.0000)
flickr-GCN_MLP-attack-comb,0.5679 (0.0000),0.4744 (0.0000),0.5034 (0.0000),0.0132 (0.0000),0.0144 (0.0000),0.0016 (0.0000),0.0228 (0.0000)
flickr-GCN_lira,0.5679 (0.0000),0.4744 (0.0000),0.5478 (0.0000),0.0204 (0.0000),0.9630 (0.0000),0.0027 (0.0000),2.2161 (0.0000)
flickr-GCN_rmia,0.5679 (0.0000),0.4744 (0.0000),0.5613 (0.0000),0.0182 (0.0000),0.7478 (0.0000),0.0022 (0.0000),0.8180 (0.0000)
flickr-GCN_lset,0.5679 (0.0000),0.4744 (0.0000),0.5613 (0.0000),0.0182 (0.0000),0.8480 (0.0000),0.0022 (0.0000),0.9314 (0.0000)
flickr-GCN_graph-lset-MI,0.5679 (0.0000),0.4744 (0.0000),0.5823 (0.0000),0.0278 (0.0000),0.6146 (0.0000),0.0038 (0.0000),0.6850 (0.0000)
flickr-GCN_lira-offline,0.5679 (0.0000),0.4744 (0.0000),0.5622 (0.0000),0.0182 (0.0000),-0.0097 (0.0000),0.0045 (0.0000),-0.0008 (0.0000)
flickr-GCN_rmia-offline,0.5679 (0.0000),0.4744 (0.0000),0.5612 (0.0000),0.0182 (0.0000),0.7760 (0.0000),0.0034 (0.0000),0.8441 (0.0000)
flickr-GCN_lset-offline,0.5679 (0.0000),0.4744 (0.0000),0.5611 (0.0000),0.0175 (0.0000),0.8037 (0.0000),0.0031 (0.0000),0.9055 (0.0000)
flickr-GCN_graph-lset-MI-offline,0.5679 (0.0000),0.4744 (0.0000),0.5968 (0.0000),0.0220 (0.0000),0.6294 (0.0000),0.0031 (0.0000),0.7211 (0.0000)
