,train_acc,test_acc,AUC,TPR@0.01FPR,threshold@0.01FPR,TPR@0.001FPR,threshold@0.001FPR
github-GraphSAGE_MLP-attack-0hop,0.9691 (0.0000),0.8341 (0.0000),0.5091 (0.0000),0.0103 (0.0000),0.1093 (0.0000),0.0019 (0.0000),0.1521 (0.0000)
github-GraphSAGE_MLP-attack-comb,0.9691 (0.0000),0.8341 (0.0000),0.4962 (0.0000),0.0098 (0.0000),0.1144 (0.0000),0.0008 (0.0000),0.1685 (0.0000)
github-GraphSAGE_lira,0.9691 (0.0000),0.8341 (0.0000),0.5277 (0.0000),0.0159 (0.0000),2.2982 (0.0000),0.0019 (0.0000),4.6314 (0.0000)
github-GraphSAGE_rmia,0.9691 (0.0000),0.8341 (0.0000),0.5388 (0.0000),0.0218 (0.0000),0.9422 (0.0000),0.0027 (0.0000),0.9849 (0.0000)
github-GraphSAGE_lset,0.9691 (0.0000),0.8341 (0.0000),0.5388 (0.0000),0.0218 (0.0000),0.6378 (0.0000),0.0027 (0.0000),0.7553 (0.0000)
github-GraphSAGE_graph-lset-MIA,0.9691 (0.0000),0.8341 (0.0000),0.5953 (0.0000),0.0321 (0.0000),0.6067 (0.0000),0.0064 (0.0000),0.6803 (0.0000)
github-GraphSAGE_lira-offline,0.9691 (0.0000),0.8341 (0.0000),0.5406 (0.0000),0.0125 (0.0000),-0.0000 (0.0000),0.0019 (0.0000),-0.0000 (0.0000)
github-GraphSAGE_rmia-offline,0.9691 (0.0000),0.8341 (0.0000),0.5388 (0.0000),0.0271 (0.0000),0.9516 (0.0000),0.0056 (0.0000),0.9854 (0.0000)
github-GraphSAGE_lset-offline,0.9691 (0.0000),0.8341 (0.0000),0.5391 (0.0000),0.0273 (0.0000),0.6518 (0.0000),0.0056 (0.0000),0.7637 (0.0000)
github-GraphSAGE_graph-lset-MIA-offline,0.9691 (0.0000),0.8341 (0.0000),0.6001 (0.0000),0.0406 (0.0000),0.6228 (0.0000),0.0042 (0.0000),0.7506 (0.0000)
