,train_acc,test_acc,AUC,TPR@0.01FPR,threshold@0.01FPR,TPR@0.001FPR,threshold@0.001FPR
pubmed-GraphSAGE_bmia,0.9629 (0.0021),0.8727 (0.0027),0.5447 (0.0048),0.0000 (0.0000),inf (nan),0.0000 (0.0000),inf (nan)
pubmed-GraphSAGE_lset,0.9629 (0.0021),0.8727 (0.0027),0.5720 (0.0066),0.0285 (0.0035),0.6052 (0.0093),0.0045 (0.0012),0.7140 (0.0161)
pubmed-GraphSAGE_lset-offline,0.9629 (0.0021),0.8727 (0.0027),0.5672 (0.0069),0.0308 (0.0026),0.6240 (0.0093),0.0076 (0.0019),0.7422 (0.0182)
pubmed-GraphSAGE_rmia,0.9629 (0.0021),0.8727 (0.0027),0.5720 (0.0066),0.0285 (0.0036),0.9474 (0.0039),0.0045 (0.0012),0.9822 (0.0030)
pubmed-GraphSAGE_rmia-gamma-2,0.9629 (0.0021),0.8727 (0.0027),0.5720 (0.0066),0.0285 (0.0035),0.0858 (0.0150),0.0045 (0.0012),0.8975 (0.0303)
pubmed-GraphSAGE_rmia-offline,0.9629 (0.0021),0.8727 (0.0027),0.5651 (0.0065),0.0304 (0.0027),0.9719 (0.0027),0.0075 (0.0018),0.9926 (0.0016)
pubmed-GraphSAGE_lira,0.9629 (0.0021),0.8727 (0.0027),0.5308 (0.0058),0.0116 (0.0014),17.1690 (0.9948),0.0010 (0.0007),209.2349 (244.4601)
pubmed-GraphSAGE_lira-offline,0.9629 (0.0021),0.8727 (0.0027),0.5527 (0.0057),0.0135 (0.0025),-0.0000 (0.0000),0.0015 (0.0008),-0.0000 (0.0000)
pubmed-GraphSAGE_MLP-attack-0hop,0.9629 (0.0021),0.8727 (0.0027),0.4989 (0.0070),0.0097 (0.0021),0.1601 (0.0960),0.0009 (0.0005),0.2284 (0.1461)
pubmed-GraphSAGE_MLP-attack-comb,0.9629 (0.0021),0.8727 (0.0027),0.5052 (0.0046),0.0110 (0.0017),0.2678 (0.1012),0.0011 (0.0007),0.3847 (0.1307)
pubmed-GraphSAGE_confidence,0.9629 (0.0021),0.8727 (0.0027),0.5140 (0.0044),0.0096 (0.0015),0.9998 (0.0001),0.0012 (0.0006),1.0000 (0.0000)
pubmed-GraphSAGE_graph-lset-MI,0.9629 (0.0021),0.8727 (0.0027),0.6296 (0.0042),0.0522 (0.0050),0.5977 (0.0054),0.0107 (0.0051),0.6956 (0.0294)
pubmed-GraphSAGE_graph-lset-MIA,0.9629 (0.0021),0.8727 (0.0027),0.6295 (0.0052),0.0524 (0.0043),0.5928 (0.0053),0.0116 (0.0029),0.6771 (0.0175)
pubmed-GraphSAGE_graph-lset-MCMC,0.9629 (0.0021),0.8727 (0.0027),0.6201 (0.0051),0.0483 (0.0031),0.6416 (0.0068),0.0102 (0.0027),0.7738 (0.0212)
pubmed-GraphSAGE_graph-lset-MI-offline,0.9629 (0.0021),0.8727 (0.0027),0.6268 (0.0048),0.0534 (0.0037),0.6661 (0.0058),0.0132 (0.0037),0.8031 (0.0213)
pubmed-GraphSAGE_graph-lset-MI-offline-no-scale,0.9629 (0.0021),0.8727 (0.0027),0.6207 (0.0056),0.0504 (0.0042),0.6915 (0.0068),0.0139 (0.0040),0.8261 (0.0220)
