,train_acc,test_acc,AUC,TPR@0.01FPR,threshold@0.01FPR,TPR@0.001FPR,threshold@0.001FPR
pubmed-GraphSAGE_MLP-attack-0hop,0.9655 (0.0000),0.8680 (0.0000),0.5137 (0.0000),0.0101 (0.0000),0.0631 (0.0000),0.0025 (0.0000),0.0738 (0.0000)
pubmed-GraphSAGE_MLP-attack-comb,0.9655 (0.0000),0.8680 (0.0000),0.5086 (0.0000),0.0096 (0.0000),0.1198 (0.0000),0.0000 (0.0000),0.2643 (0.0000)
pubmed-GraphSAGE_lira,0.9655 (0.0000),0.8680 (0.0000),0.5744 (0.0000),0.0391 (0.0000),1.1546 (0.0000),0.0162 (0.0000),1.9159 (0.0000)
pubmed-GraphSAGE_rmia,0.9655 (0.0000),0.8680 (0.0000),0.5766 (0.0000),0.0365 (0.0000),0.9417 (0.0000),0.0086 (0.0000),0.9763 (0.0000)
pubmed-GraphSAGE_lset,0.9655 (0.0000),0.8680 (0.0000),0.5766 (0.0000),0.0365 (0.0000),0.5925 (0.0000),0.0086 (0.0000),0.6796 (0.0000)
pubmed-GraphSAGE_graph-lset-MIA,0.9655 (0.0000),0.8680 (0.0000),0.6186 (0.0000),0.0548 (0.0000),0.5776 (0.0000),0.0152 (0.0000),0.6308 (0.0000)
pubmed-GraphSAGE_lira-offline,0.9655 (0.0000),0.8680 (0.0000),0.5534 (0.0000),0.0274 (0.0000),-0.0091 (0.0000),0.0046 (0.0000),-0.0005 (0.0000)
pubmed-GraphSAGE_rmia-offline,0.9655 (0.0000),0.8680 (0.0000),0.5772 (0.0000),0.0330 (0.0000),0.9534 (0.0000),0.0107 (0.0000),0.9799 (0.0000)
pubmed-GraphSAGE_lset-offline,0.9655 (0.0000),0.8680 (0.0000),0.5745 (0.0000),0.0330 (0.0000),0.5948 (0.0000),0.0132 (0.0000),0.6667 (0.0000)
pubmed-GraphSAGE_graph-lset-MIA-offline,0.9655 (0.0000),0.8680 (0.0000),0.6324 (0.0000),0.0649 (0.0000),0.6169 (0.0000),0.0254 (0.0000),0.6970 (0.0000)
