,train_acc,test_acc,AUC,TPR@0.01FPR,threshold@0.01FPR,TPR@0.001FPR,threshold@0.001FPR
cora-GCN_MLP-attack-0hop,0.9269 (0.0059),0.8113 (0.0102),0.5789 (0.0223),0.0195 (0.0086),0.9141 (0.2456),0.0040 (0.0040),inf (nan)
cora-GCN_MLP-attack-comb,0.9269 (0.0059),0.8113 (0.0102),0.5450 (0.0139),0.0121 (0.0040),1.5699 (0.3663),0.0025 (0.0021),inf (nan)
cora-GCN_lira,0.9269 (0.0059),0.8113 (0.0102),0.6202 (0.0157),0.0139 (0.0068),46.0806 (24.6943),0.0021 (0.0025),inf (nan)
cora-GCN_rmia,0.9269 (0.0059),0.8113 (0.0102),0.7151 (0.0113),0.0381 (0.0077),0.8993 (0.0078),0.0064 (0.0061),inf (nan)
cora-GCN_lset,0.9269 (0.0059),0.8113 (0.0102),0.7151 (0.0113),0.0383 (0.0079),0.6578 (0.0113),0.0064 (0.0061),inf (nan)
cora-GCN_graph-lset-MIA,0.9269 (0.0059),0.8113 (0.0102),0.6792 (0.0169),0.0386 (0.0190),0.5793 (0.0146),0.0055 (0.0071),inf (nan)
cora-GCN_lira-offline,0.9269 (0.0059),0.8113 (0.0102),0.6665 (0.0084),0.0189 (0.0066),-0.0000 (0.0000),0.0025 (0.0033),inf (nan)
cora-GCN_rmia-offline,0.9269 (0.0059),0.8113 (0.0102),0.6916 (0.0108),0.0462 (0.0149),0.8261 (0.0109),0.0049 (0.0034),inf (nan)
cora-GCN_lset-offline,0.9269 (0.0059),0.8113 (0.0102),0.7084 (0.0107),0.0634 (0.0181),0.6168 (0.0184),0.0111 (0.0080),0.7752 (0.0545)
cora-GCN_graph-lset-MIA-offline,0.9269 (0.0059),0.8113 (0.0102),0.6847 (0.0071),0.0391 (0.0154),0.7176 (0.0486),0.0050 (0.0030),inf (nan)
