,train_acc,test_acc,AUC,TPR@0.01FPR,threshold@0.01FPR,TPR@0.001FPR,threshold@0.001FPR
pubmed-GraphSAGE_MLP-attack-0hop,"0.9643, 0.0021","0.8694, 0.0030","0.5076, 0.0066","0.0100, 0.0022","0.1375, 0.0830","0.0011, 0.0006","0.1843, 0.1053"
pubmed-GraphSAGE_MLP-attack-comb,"0.9643, 0.0021","0.8694, 0.0030","0.5074, 0.0046","0.0106, 0.0013","0.1672, 0.0889","0.0011, 0.0007","0.2327, 0.1178"
pubmed-GraphSAGE_lira,"0.9643, 0.0021","0.8694, 0.0030","0.5200, 0.0032","0.0106, 0.0012","24.2692, 2.0180","0.0011, 0.0007","185.0497, 92.5661"
pubmed-GraphSAGE_rmia,"0.9643, 0.0021","0.8694, 0.0030","0.5554, 0.0056","0.0170, 0.0026","0.9287, 0.0029","0.0021, 0.0010","0.9711, 0.0069"
pubmed-GraphSAGE_base,"0.9643, 0.0021","0.8694, 0.0030","0.5554, 0.0056","0.0170, 0.0026","0.6745, 0.0073","0.0021, 0.0010","0.8948, 0.0358"
pubmed-GraphSAGE_g-base-MIA,"0.9643, 0.0021","0.8694, 0.0030","0.5792, 0.0054","0.0254, 0.0026","0.7000, 0.0058","0.0039, 0.0012","0.8648, 0.0274"
pubmed-GraphSAGE_lira-offline,"0.9643, 0.0021","0.8694, 0.0030","0.5273, 0.0062","0.0152, 0.0038","-0.0008, 0.0007","0.0012, 0.0005","-0.0000, 0.0000"
pubmed-GraphSAGE_rmia-offline,"0.9643, 0.0021","0.8694, 0.0030","0.5496, 0.0065","0.0190, 0.0026","0.8936, 0.0013","0.0022, 0.0008","0.9185, 0.0031"
pubmed-GraphSAGE_base-offline,"0.9643, 0.0021","0.8694, 0.0030","0.5565, 0.0061","0.0237, 0.0039","0.6376, 0.0113","0.0044, 0.0022","0.8277, 0.0338"
pubmed-GraphSAGE_g-base-MIA-offline,"0.9643, 0.0021","0.8694, 0.0030","0.5826, 0.0039","0.0294, 0.0039","0.7654, 0.0086","0.0056, 0.0021","0.9154, 0.0191"
