,FPR_bayes-optimal-cora-GCN-MIA0-large,TPR_bayes-optimal-cora-GCN-MIA0-large
0,0.0,0.0
1,0.0,0.004
2,0.0,0.028
3,0.004,0.028
4,0.004,0.116
5,0.012,0.116
6,0.012,0.12
7,0.016,0.12
8,0.016,0.124
9,0.02,0.124
10,0.02,0.136
11,0.028,0.136
12,0.028,0.156
13,0.032,0.156
14,0.032,0.188
15,0.04,0.188
16,0.04,0.212
17,0.044,0.212
18,0.044,0.268
19,0.048,0.268
20,0.048,0.28
21,0.052,0.28
22,0.052,0.292
23,0.06,0.292
24,0.06,0.296
25,0.064,0.296
26,0.064,0.312
27,0.068,0.312
28,0.068,0.32
29,0.076,0.32
30,0.076,0.344
31,0.084,0.344
32,0.084,0.356
33,0.088,0.356
34,0.088,0.38
35,0.092,0.38
36,0.092,0.396
37,0.096,0.396
38,0.096,0.408
39,0.1,0.408
40,0.1,0.412
41,0.104,0.412
42,0.104,0.436
43,0.108,0.436
44,0.108,0.448
45,0.112,0.448
46,0.112,0.46
47,0.12,0.46
48,0.12,0.464
49,0.128,0.464
50,0.128,0.472
51,0.136,0.472
52,0.136,0.48
53,0.14,0.48
54,0.14,0.488
55,0.144,0.488
56,0.144,0.492
57,0.148,0.492
58,0.148,0.516
59,0.156,0.516
60,0.156,0.52
61,0.168,0.52
62,0.168,0.524
63,0.172,0.524
64,0.172,0.536
65,0.188,0.536
66,0.188,0.556
67,0.196,0.556
68,0.196,0.56
69,0.2,0.56
70,0.2,0.588
71,0.204,0.588
72,0.204,0.596
73,0.208,0.596
74,0.208,0.6
75,0.224,0.6
76,0.224,0.604
77,0.228,0.604
78,0.228,0.608
79,0.236,0.608
80,0.236,0.628
81,0.24,0.628
82,0.24,0.636
83,0.248,0.636
84,0.248,0.648
85,0.256,0.648
86,0.256,0.66
87,0.264,0.66
88,0.264,0.664
89,0.268,0.664
90,0.268,0.672
91,0.272,0.672
92,0.272,0.7
93,0.284,0.7
94,0.284,0.716
95,0.288,0.716
96,0.288,0.72
97,0.304,0.72
98,0.304,0.724
99,0.308,0.724
100,0.308,0.732
101,0.312,0.732
102,0.312,0.748
103,0.324,0.748
104,0.324,0.756
105,0.332,0.756
106,0.332,0.764
107,0.336,0.764
108,0.336,0.78
109,0.344,0.78
110,0.344,0.784
111,0.36,0.784
112,0.36,0.788
113,0.368,0.788
114,0.368,0.792
115,0.38,0.792
116,0.38,0.804
117,0.384,0.804
118,0.384,0.808
119,0.388,0.808
120,0.388,0.812
121,0.404,0.812
122,0.404,0.828
123,0.408,0.828
124,0.408,0.836
125,0.412,0.836
126,0.412,0.84
127,0.428,0.84
128,0.428,0.844
129,0.436,0.844
130,0.436,0.848
131,0.44,0.848
132,0.44,0.852
133,0.456,0.852
134,0.456,0.86
135,0.464,0.86
136,0.464,0.864
137,0.496,0.864
138,0.496,0.872
139,0.5,0.872
140,0.5,0.876
141,0.504,0.876
142,0.504,0.88
143,0.512,0.88
144,0.512,0.884
145,0.528,0.884
146,0.528,0.888
147,0.536,0.888
148,0.536,0.892
149,0.556,0.892
150,0.556,0.896
151,0.568,0.896
152,0.568,0.9
153,0.58,0.9
154,0.58,0.904
155,0.592,0.904
156,0.592,0.912
157,0.612,0.912
158,0.612,0.928
159,0.672,0.928
160,0.672,0.936
161,0.68,0.936
162,0.68,0.94
163,0.692,0.94
164,0.692,0.956
165,0.704,0.956
166,0.704,0.964
167,0.756,0.964
168,0.756,0.968
169,0.784,0.968
170,0.784,0.976
171,0.82,0.976
172,0.82,0.984
173,0.928,0.984
174,0.928,0.988
175,0.952,0.988
176,0.952,0.992
177,0.972,0.992
178,0.972,0.996
179,0.988,0.996
180,0.988,1.0
181,1.0,1.0
