,train_acc,test_acc,AUC,TPR@0.01FPR,threshold@0.01FPR,TPR@0.001FPR,threshold@0.001FPR
amazon-photo-GAT_bmia,0.9970 (0.0009),0.9100 (0.0048),0.5625 (0.0122),0.0000 (0.0000),inf (nan),0.0000 (0.0000),inf (nan)
amazon-photo-GAT_lset,0.9970 (0.0009),0.9100 (0.0048),0.5664 (0.0087),0.0236 (0.0067),0.7167 (0.0392),0.0044 (0.0037),0.8866 (0.0762)
amazon-photo-GAT_lset-offline,0.9970 (0.0009),0.9100 (0.0048),0.5663 (0.0100),0.0370 (0.0074),0.5806 (0.0119),0.0109 (0.0058),0.7219 (0.0830)
amazon-photo-GAT_rmia,0.9970 (0.0009),0.9100 (0.0048),0.5664 (0.0087),0.0235 (0.0067),0.9267 (0.0101),0.0044 (0.0037),0.9675 (0.0144)
amazon-photo-GAT_rmia-gamma-2,0.9970 (0.0009),0.9100 (0.0048),0.5660 (0.0087),0.0236 (0.0067),0.7757 (0.1812),0.0044 (0.0037),0.9461 (0.0299)
amazon-photo-GAT_rmia-offline,0.9970 (0.0009),0.9100 (0.0048),0.5648 (0.0080),0.0355 (0.0071),0.8679 (0.0084),0.0132 (0.0056),0.9032 (0.0055)
amazon-photo-GAT_lira,0.9970 (0.0009),0.9100 (0.0048),0.5492 (0.0111),0.0228 (0.0056),17.6934 (3.9551),0.0027 (0.0031),245.3539 (206.1558)
amazon-photo-GAT_lira-offline,0.9970 (0.0009),0.9100 (0.0048),0.5712 (0.0108),0.0296 (0.0046),-0.0000 (0.0000),0.0050 (0.0030),-0.0000 (0.0000)
amazon-photo-GAT_MLP-attack-0hop,0.9970 (0.0009),0.9100 (0.0048),0.5165 (0.0095),0.0140 (0.0038),0.5139 (0.1371),0.0026 (0.0015),0.6838 (0.1393)
amazon-photo-GAT_MLP-attack-comb,0.9970 (0.0009),0.9100 (0.0048),0.5069 (0.0110),0.0110 (0.0024),2.8517 (0.5354),0.0009 (0.0008),4.6986 (0.8330)
amazon-photo-GAT_confidence,0.9970 (0.0009),0.9100 (0.0048),0.5328 (0.0099),0.0119 (0.0069),inf (nan),0.0007 (0.0015),inf (nan)
amazon-photo-GAT_graph-lset-MI,0.9970 (0.0009),0.9100 (0.0048),0.5652 (0.0061),0.0394 (0.0073),0.6042 (0.0148),0.0061 (0.0030),0.7512 (0.0497)
amazon-photo-GAT_graph-lset-MIA,0.9970 (0.0009),0.9100 (0.0048),0.5674 (0.0047),0.0393 (0.0099),0.6031 (0.0188),0.0089 (0.0054),0.7316 (0.0532)
amazon-photo-GAT_graph-lset-MCMC,0.9970 (0.0009),0.9100 (0.0048),0.5548 (0.0086),0.0306 (0.0077),0.7467 (0.0345),0.0072 (0.0030),0.9479 (0.0285)
amazon-photo-GAT_graph-lset-MI-offline,0.9970 (0.0009),0.9100 (0.0048),0.5763 (0.0106),0.0477 (0.0046),0.6822 (0.0121),0.0128 (0.0045),0.8604 (0.0279)
amazon-photo-GAT_graph-lset-MI-offline-no-scale,0.9970 (0.0009),0.9100 (0.0048),0.5717 (0.0054),0.0422 (0.0059),0.7003 (0.0170),0.0119 (0.0036),0.8844 (0.0303)
