,train_acc,test_acc,AUC,TPR@0.01FPR,threshold@0.01FPR,TPR@0.001FPR,threshold@0.001FPR
amazon-photo-GCN_bmia,0.9939 (0.0016),0.9114 (0.0059),0.5470 (0.0037),0.0000 (0.0000),inf (nan),0.0000 (0.0000),inf (nan)
amazon-photo-GCN_lset,0.9939 (0.0016),0.9114 (0.0059),0.5561 (0.0058),0.0145 (0.0031),0.8297 (0.0287),0.0018 (0.0013),0.9841 (0.0325)
amazon-photo-GCN_lset-offline,0.9939 (0.0016),0.9114 (0.0059),0.5649 (0.0077),0.0342 (0.0077),0.5017 (0.0005),0.0079 (0.0055),0.5114 (0.0045)
amazon-photo-GCN_rmia,0.9939 (0.0016),0.9114 (0.0059),0.5561 (0.0058),0.0144 (0.0031),0.8028 (0.0051),0.0018 (0.0013),0.8854 (0.0373)
amazon-photo-GCN_rmia-gamma-2,0.9939 (0.0016),0.9114 (0.0059),0.5561 (0.0058),0.0144 (0.0031),0.7860 (0.0054),0.0018 (0.0013),0.8763 (0.0404)
amazon-photo-GCN_rmia-offline,0.9939 (0.0016),0.9114 (0.0059),0.5619 (0.0078),0.0315 (0.0047),0.7795 (0.0051),0.0042 (0.0054),inf (nan)
amazon-photo-GCN_lira,0.9939 (0.0016),0.9114 (0.0059),0.5624 (0.0055),0.0190 (0.0037),15.5785 (2.2990),0.0017 (0.0014),156.9831 (76.9652)
amazon-photo-GCN_lira-offline,0.9939 (0.0016),0.9114 (0.0059),0.5628 (0.0070),0.0247 (0.0044),-0.0000 (0.0000),0.0033 (0.0026),-0.0000 (0.0000)
amazon-photo-GCN_MLP-attack-0hop,0.9939 (0.0016),0.9114 (0.0059),0.5156 (0.0115),0.0143 (0.0033),0.4689 (0.1637),0.0025 (0.0014),0.7056 (0.2412)
amazon-photo-GCN_MLP-attack-comb,0.9939 (0.0016),0.9114 (0.0059),0.5167 (0.0119),0.0161 (0.0028),0.6878 (0.1885),0.0018 (0.0016),1.0787 (0.2682)
amazon-photo-GCN_confidence,0.9939 (0.0016),0.9114 (0.0059),0.5506 (0.0101),0.0000 (0.0000),inf (nan),0.0000 (0.0000),inf (nan)
amazon-photo-GCN_graph-lset-MI,0.9939 (0.0016),0.9114 (0.0059),0.5740 (0.0064),0.0239 (0.0072),0.6931 (0.0496),0.0024 (0.0012),0.8645 (0.0680)
amazon-photo-GCN_graph-lset-MIA,0.9939 (0.0016),0.9114 (0.0059),0.5605 (0.0105),0.0209 (0.0052),0.7200 (0.0385),0.0022 (0.0012),0.9000 (0.0456)
amazon-photo-GCN_graph-lset-MCMC,0.9939 (0.0016),0.9114 (0.0059),0.5595 (0.0078),0.0211 (0.0040),0.7686 (0.0243),0.0028 (0.0019),0.9749 (0.0211)
amazon-photo-GCN_graph-lset-MI-offline,0.9939 (0.0016),0.9114 (0.0059),0.5834 (0.0049),0.0397 (0.0070),0.7737 (0.0336),0.0095 (0.0033),0.9595 (0.0292)
amazon-photo-GCN_graph-lset-MI-offline-no-scale,0.9939 (0.0016),0.9114 (0.0059),0.5798 (0.0056),0.0354 (0.0060),0.7960 (0.0264),0.0090 (0.0039),0.9671 (0.0252)
