,train_acc,test_acc,AUC,TPR@0.01FPR,threshold@0.01FPR,TPR@0.001FPR,threshold@0.001FPR
amazon-photo-GraphSAGE_bmia,0.9193 (0.0616),0.8417 (0.0754),0.5264 (0.0099),0.0000 (0.0000),inf (nan),0.0000 (0.0000),inf (nan)
amazon-photo-GraphSAGE_lset,0.9193 (0.0616),0.8417 (0.0754),0.5279 (0.0109),0.0141 (0.0036),0.8159 (0.0767),0.0024 (0.0014),0.9271 (0.0468)
amazon-photo-GraphSAGE_lset-offline,0.9193 (0.0616),0.8417 (0.0754),0.5270 (0.0106),0.0212 (0.0067),0.6566 (0.0557),0.0028 (0.0024),0.8449 (0.0974)
amazon-photo-GraphSAGE_rmia,0.9193 (0.0616),0.8417 (0.0754),0.5280 (0.0109),0.0141 (0.0036),0.8763 (0.0188),0.0024 (0.0014),0.9282 (0.0152)
amazon-photo-GraphSAGE_rmia-gamma-2,0.9193 (0.0616),0.8417 (0.0754),0.5279 (0.0109),0.0141 (0.0036),0.7933 (0.0742),0.0024 (0.0014),0.8980 (0.0267)
amazon-photo-GraphSAGE_rmia-offline,0.9193 (0.0616),0.8417 (0.0754),0.5243 (0.0098),0.0206 (0.0049),0.7455 (0.0197),0.0035 (0.0025),0.7791 (0.0247)
amazon-photo-GraphSAGE_lira,0.9193 (0.0616),0.8417 (0.0754),0.5198 (0.0111),0.0162 (0.0027),15.5475 (6.4752),0.0018 (0.0014),151.6096 (145.3916)
amazon-photo-GraphSAGE_lira-offline,0.9193 (0.0616),0.8417 (0.0754),0.5314 (0.0106),0.0210 (0.0048),-0.0001 (0.0001),0.0024 (0.0012),-0.0000 (0.0000)
amazon-photo-GraphSAGE_MLP-attack-0hop,0.9193 (0.0616),0.8417 (0.0754),0.5000 (0.0081),0.0115 (0.0034),0.2851 (0.1691),0.0011 (0.0007),0.4265 (0.2060)
amazon-photo-GraphSAGE_MLP-attack-comb,0.9193 (0.0616),0.8417 (0.0754),0.5124 (0.0129),0.0140 (0.0045),1.1142 (0.2494),0.0012 (0.0010),1.6104 (0.3653)
amazon-photo-GraphSAGE_confidence,0.9193 (0.0616),0.8417 (0.0754),0.5165 (0.0077),0.0127 (0.0030),0.9999 (0.0002),0.0010 (0.0010),inf (nan)
amazon-photo-GraphSAGE_graph-lset-MI,0.9193 (0.0616),0.8417 (0.0754),0.5640 (0.0189),0.0266 (0.0073),0.6578 (0.0235),0.0043 (0.0019),0.8584 (0.0954)
amazon-photo-GraphSAGE_graph-lset-MIA,0.9193 (0.0616),0.8417 (0.0754),0.5522 (0.0186),0.0192 (0.0046),0.6868 (0.0759),0.0019 (0.0013),inf (nan)
amazon-photo-GraphSAGE_graph-lset-MCMC,0.9193 (0.0616),0.8417 (0.0754),0.5552 (0.0135),0.0225 (0.0046),0.7209 (0.0250),0.0029 (0.0019),0.9481 (0.0413)
amazon-photo-GraphSAGE_graph-lset-MI-offline,0.9193 (0.0616),0.8417 (0.0754),0.5652 (0.0167),0.0302 (0.0048),0.7363 (0.0139),0.0078 (0.0035),0.9201 (0.0514)
amazon-photo-GraphSAGE_graph-lset-MI-offline-no-scale,0.9193 (0.0616),0.8417 (0.0754),0.5631 (0.0166),0.0302 (0.0053),0.7469 (0.0152),0.0073 (0.0029),0.9315 (0.0434)
