,train_acc,test_acc,AUC,TPR@0.01FPR,threshold@0.01FPR,TPR@0.001FPR,threshold@0.001FPR
cora-GAT_bmia,0.9711 (0.0045),0.8049 (0.0132),0.7488 (0.0095),0.0000 (0.0000),inf (nan),0.0000 (0.0000),inf (nan)
cora-GAT_lset,0.9711 (0.0045),0.8049 (0.0132),0.7966 (0.0117),0.1304 (0.0287),0.6161 (0.0141),0.0253 (0.0222),inf (nan)
cora-GAT_lset-offline,0.9711 (0.0045),0.8049 (0.0132),0.7845 (0.0121),0.1585 (0.0184),0.5801 (0.0106),0.0678 (0.0331),0.6731 (0.0440)
cora-GAT_rmia,0.9711 (0.0045),0.8049 (0.0132),0.7966 (0.0117),0.1297 (0.0283),0.8594 (0.0121),0.0253 (0.0222),inf (nan)
cora-GAT_rmia-gamma-2,0.9711 (0.0045),0.8049 (0.0132),0.7965 (0.0117),0.1303 (0.0287),0.2114 (0.0293),0.0253 (0.0222),inf (nan)
cora-GAT_rmia-offline,0.9711 (0.0045),0.8049 (0.0132),0.7731 (0.0120),0.1780 (0.0283),0.7836 (0.0151),0.0815 (0.0317),0.8336 (0.0197)
cora-GAT_lira,0.9711 (0.0045),0.8049 (0.0132),0.7891 (0.0140),0.0802 (0.0141),15.7830 (2.5988),0.0192 (0.0147),inf (nan)
cora-GAT_lira-offline,0.9711 (0.0045),0.8049 (0.0132),0.7997 (0.0099),0.1188 (0.0309),-0.0000 (0.0000),0.0226 (0.0148),-0.0000 (0.0000)
cora-GAT_MLP-attack-0hop,0.9711 (0.0045),0.8049 (0.0132),0.6789 (0.0237),0.0285 (0.0104),1.0015 (0.1585),0.0059 (0.0049),inf (nan)
cora-GAT_MLP-attack-comb,0.9711 (0.0045),0.8049 (0.0132),0.6085 (0.0134),0.0191 (0.0056),1.4517 (0.3104),0.0024 (0.0032),inf (nan)
cora-GAT_confidence,0.9711 (0.0045),0.8049 (0.0132),0.6985 (0.0125),0.0230 (0.0106),0.9996 (0.0001),0.0044 (0.0065),inf (nan)
cora-GAT_graph-lset-MI,0.9711 (0.0045),0.8049 (0.0132),0.7383 (0.0117),0.0804 (0.0244),0.6164 (0.0192),0.0270 (0.0188),0.7028 (0.0550)
cora-GAT_graph-lset-MIA,0.9711 (0.0045),0.8049 (0.0132),0.7397 (0.0140),0.1196 (0.0232),0.5810 (0.0099),0.0399 (0.0280),0.6647 (0.0515)
cora-GAT_graph-lset-MI-offline-0.9,0.9711 (0.0045),0.8049 (0.0132),0.7317 (0.0092),0.0947 (0.0266),0.7090 (0.0308),0.0154 (0.0129),inf (nan)
cora-GAT_graph-lset-MI-offline,0.9711 (0.0045),0.8049 (0.0132),0.7192 (0.0125),0.0873 (0.0211),0.7345 (0.0283),0.0303 (0.0174),0.8507 (0.0415)
