,train_acc,test_acc,AUC,TPR@0.01FPR,threshold@0.01FPR,TPR@0.001FPR,threshold@0.001FPR
cora-GraphSAGE_bmia,0.9998 (0.0003),0.7857 (0.0126),0.6714 (0.0145),0.0000 (0.0000),inf (nan),0.0000 (0.0000),inf (nan)
cora-GraphSAGE_lset,0.9998 (0.0003),0.7857 (0.0126),0.7453 (0.0124),0.1123 (0.0167),0.6370 (0.0124),0.0201 (0.0127),0.7422 (0.0403)
cora-GraphSAGE_lset-offline,0.9998 (0.0003),0.7857 (0.0126),0.7339 (0.0108),0.1598 (0.0274),0.5661 (0.0119),0.0493 (0.0321),0.6698 (0.0513)
cora-GraphSAGE_rmia,0.9998 (0.0003),0.7857 (0.0126),0.7453 (0.0124),0.1121 (0.0168),0.8433 (0.0117),0.0201 (0.0127),0.9263 (0.0196)
cora-GraphSAGE_rmia-gamma-2,0.9998 (0.0003),0.7857 (0.0126),0.7453 (0.0124),0.1121 (0.0168),0.3424 (0.0400),0.0201 (0.0127),0.7642 (0.0767)
cora-GraphSAGE_rmia-offline,0.9998 (0.0003),0.7857 (0.0126),0.7342 (0.0105),0.1508 (0.0262),0.8225 (0.0173),0.0496 (0.0329),0.9044 (0.0306)
cora-GraphSAGE_lira,0.9998 (0.0003),0.7857 (0.0126),0.7025 (0.0108),0.0706 (0.0238),16.7257 (7.4787),0.0081 (0.0083),inf (nan)
cora-GraphSAGE_lira-offline,0.9998 (0.0003),0.7857 (0.0126),0.7239 (0.0107),0.1096 (0.0250),-0.0000 (0.0000),0.0120 (0.0128),inf (nan)
cora-GraphSAGE_MLP-attack-0hop,0.9998 (0.0003),0.7857 (0.0126),0.6273 (0.0193),0.0419 (0.0100),0.8650 (0.3287),0.0086 (0.0083),inf (nan)
cora-GraphSAGE_MLP-attack-comb,0.9998 (0.0003),0.7857 (0.0126),0.6016 (0.0159),0.0097 (0.0032),3.1742 (0.8033),0.0006 (0.0014),inf (nan)
cora-GraphSAGE_confidence,0.9998 (0.0003),0.7857 (0.0126),0.6702 (0.0107),0.0251 (0.0104),0.9896 (0.0035),0.0019 (0.0025),inf (nan)
cora-GraphSAGE_graph-lset-MI,0.9998 (0.0003),0.7857 (0.0126),0.7537 (0.0138),0.1046 (0.0197),0.6146 (0.0108),0.0372 (0.0251),0.6887 (0.0430)
cora-GraphSAGE_graph-lset-MIA,0.9998 (0.0003),0.7857 (0.0126),0.7660 (0.0186),0.1313 (0.0343),0.5955 (0.0159),0.0338 (0.0207),0.6820 (0.0386)
cora-GraphSAGE_graph-lset-MCMC,0.9998 (0.0003),0.7857 (0.0126),0.7490 (0.0220),0.1077 (0.0395),0.6630 (0.0353),0.0202 (0.0206),inf (nan)
cora-GraphSAGE_graph-lset-MI-offline,0.9998 (0.0003),0.7857 (0.0126),0.7443 (0.0208),0.1254 (0.0194),0.7246 (0.0176),0.0434 (0.0279),inf (nan)
cora-GraphSAGE_graph-lset-MI-offline-no-scale,0.9998 (0.0003),0.7857 (0.0126),0.7336 (0.0165),0.1241 (0.0305),0.7415 (0.0271),0.0393 (0.0203),inf (nan)
