,train_acc,test_acc,AUC,TPR@0.01FPR,threshold@0.01FPR,TPR@0.001FPR,threshold@0.001FPR
flickr-GAT_MLP-attack-0hop,"(0.5772773027420044, 0.0)","(0.47681793570518494, 0.0)","(0.5087315867523481, 0.0)","(0.010980392156862745, 0.0)","(0.06795641779899597, 0.0)","(0.0006722689075630252, 0.0)","(0.09763464331626892, 0.0)"
flickr-GAT_MLP-attack-comb,"(0.5772773027420044, 0.0)","(0.47681793570518494, 0.0)","(0.5015918461502248, 0.0)","(0.008739495798319327, 0.0)","(0.5576547384262085, 0.0)","(0.000784313725490196, 0.0)","(0.9542862772941589, 0.0)"
flickr-GAT_lira,"(0.5772773027420044, 0.0)","(0.47681793570518494, 0.0)","(0.5064618725921741, 0.0)","(0.008515406162464986, 0.0)","(20.994298123726367, 0.0)","(0.000896358543417367, 0.0)","(153.10838979563704, 0.0)"
flickr-GAT_rmia,"(0.5772773027420044, 0.0)","(0.47681793570518494, 0.0)","(0.5508395169832638, 0.0)","(0.021624649859943976, 0.0)","(0.8995041847229004, 0.0)","(0.0019047619047619048, 0.0)","(0.9764453768730164, 0.0)"
flickr-GAT_base,"(0.5772773027420044, 0.0)","(0.47681793570518494, 0.0)","(0.5508398622193975, 0.0)","(0.021624649859943976, 0.0)","(0.8215689659118652, 0.0)","(0.0019047619047619048, 0.0)","(0.9538255929946899, 0.0)"
flickr-GAT_g-base-MI,"(0.5772773027420044, 0.0)","(0.47681793570518494, 0.0)","(0.6057152398214188, 0.0)","(0.03630252100840336, 0.0)","(0.6510783433914185, 0.0)","(0.008403361344537815, 0.0)","(0.7458516359329224, 0.0)"
flickr-GAT_g-base-MIA,"(0.5772773027420044, 0.0)","(0.47681793570518494, 0.0)","(0.595934191715902, 0.0)","(0.031932773109243695, 0.0)","(0.651606559753418, 0.0)","(0.004257703081232493, 0.0)","(0.7541437745094299, 0.0)"
flickr-GAT_g-base-MCMC,"(0.5772773027420044, 0.0)","(0.47681793570518494, 0.0)","(0.582811985970859, 0.0)","(0.02599439775910364, 0.0)","(0.7513608336448669, 0.0)","(0.004369747899159664, 0.0)","(0.899614155292511, 0.0)"
flickr-GAT_lira-offline,"(0.5772773027420044, 0.0)","(0.47681793570518494, 0.0)","(0.5490088804149111, 0.0)","(0.016022408963585436, 0.0)","(-4.4556854221676107e-07, 0.0)","(0.0011204481792717086, 0.0)","(-1.5006922766589662e-39, 0.0)"
flickr-GAT_rmia-offline,"(0.5772773027420044, 0.0)","(0.47681793570518494, 0.0)","(0.5490127407825875, 0.0)","(0.020504201680672268, 0.0)","(0.9392464756965637, 0.0)","(0.00392156862745098, 0.0)","(0.982977569103241, 0.0)"
flickr-GAT_base-offline,"(0.5772773027420044, 0.0)","(0.47681793570518494, 0.0)","(0.5482375915071911, 0.0)","(0.02095238095238095, 0.0)","(0.8471552133560181, 0.0)","(0.00392156862745098, 0.0)","(0.9483842849731445, 0.0)"
flickr-GAT_g-base-MI-offline,"(0.5772773027420044, 0.0)","(0.47681793570518494, 0.0)","(0.6025466500325619, 0.0)","(0.03428571428571429, 0.0)","(0.6758224964141846, 0.0)","(0.009971988795518208, 0.0)","(0.7936069369316101, 0.0)"
