,train_acc,test_acc,AUC,TPR@0.01FPR,threshold@0.01FPR,TPR@0.001FPR,threshold@0.001FPR
flickr-GCN_bmia,0.5749 (0.0104),0.4741 (0.0043),0.5441 (0.0070),0.0000 (0.0000),inf (nan),0.0000 (0.0000),inf (nan)
flickr-GCN_lset,0.5749 (0.0104),0.4741 (0.0043),0.5622 (0.0068),0.0197 (0.0035),0.9080 (0.0091),0.0024 (0.0011),0.9873 (0.0036)
flickr-GCN_lset-offline,0.5749 (0.0104),0.4741 (0.0043),0.5613 (0.0064),0.0199 (0.0022),0.9143 (0.0084),0.0023 (0.0006),0.9884 (0.0036)
flickr-GCN_rmia,0.5749 (0.0104),0.4741 (0.0043),0.5622 (0.0068),0.0197 (0.0035),0.8029 (0.0086),0.0024 (0.0011),0.9142 (0.0099)
flickr-GCN_rmia-gamma-2,0.5749 (0.0104),0.4741 (0.0043),0.5622 (0.0068),0.0197 (0.0035),0.7443 (0.0114),0.0024 (0.0011),0.8855 (0.0124)
flickr-GCN_rmia-offline,0.5749 (0.0104),0.4741 (0.0043),0.5612 (0.0064),0.0200 (0.0017),0.8695 (0.0074),0.0027 (0.0006),0.9330 (0.0042)
flickr-GCN_lira,0.5749 (0.0104),0.4741 (0.0043),0.5141 (0.0044),0.0107 (0.0011),19.0567 (2.4085),0.0008 (0.0003),153.9043 (41.2004)
flickr-GCN_lira-offline,0.5749 (0.0104),0.4741 (0.0043),0.5578 (0.0062),0.0159 (0.0020),-0.0000 (0.0000),0.0015 (0.0006),-0.0000 (0.0000)
flickr-GCN_MLP-attack-0hop,0.5749 (0.0104),0.4741 (0.0043),0.5004 (0.0032),0.0103 (0.0014),0.0385 (0.0254),0.0013 (0.0007),0.0648 (0.0332)
flickr-GCN_MLP-attack-comb,0.5749 (0.0104),0.4741 (0.0043),0.4992 (0.0041),0.0104 (0.0015),0.0740 (0.0466),0.0010 (0.0003),0.1233 (0.0559)
flickr-GCN_confidence,0.5749 (0.0104),0.4741 (0.0043),0.5531 (0.0066),0.0152 (0.0019),0.9987 (0.0005),0.0020 (0.0006),1.0000 (0.0000)
flickr-GCN_graph-lset-MI,0.5749 (0.0104),0.4741 (0.0043),0.6046 (0.0094),0.0297 (0.0033),0.6635 (0.0112),0.0046 (0.0018),0.7540 (0.0161)
flickr-GCN_graph-lset-MIA,0.5749 (0.0104),0.4741 (0.0043),0.5767 (0.0062),0.0252 (0.0023),0.6770 (0.0108),0.0041 (0.0010),0.7910 (0.0109)
flickr-GCN_graph-lset-MCMC,0.5749 (0.0104),0.4741 (0.0043),0.5747 (0.0085),0.0208 (0.0017),0.7947 (0.0122),0.0021 (0.0007),0.9427 (0.0172)
flickr-GCN_graph-lset-MI-offline,0.5749 (0.0104),0.4741 (0.0043),0.6047 (0.0102),0.0278 (0.0030),0.6965 (0.0109),0.0049 (0.0014),0.8072 (0.0191)
flickr-GCN_graph-lset-MI-offline-no-scale,0.5749 (0.0104),0.4741 (0.0043),0.6040 (0.0098),0.0297 (0.0051),0.7232 (0.0075),0.0051 (0.0012),0.8231 (0.0140)
