,train_acc,test_acc,AUC,TPR@0.01FPR,threshold@0.01FPR,TPR@0.001FPR,threshold@0.001FPR
github-GraphSAGE_bmia,0.9376 (0.0147),0.8442 (0.0066),0.5238 (0.0052),0.0000 (0.0000),inf (nan),0.0000 (0.0000),inf (nan)
github-GraphSAGE_lset,0.9376 (0.0147),0.8442 (0.0066),0.5452 (0.0049),0.0208 (0.0030),0.6328 (0.0178),0.0037 (0.0013),0.7250 (0.0300)
github-GraphSAGE_lset-offline,0.9376 (0.0147),0.8442 (0.0066),0.5425 (0.0049),0.0212 (0.0035),0.6317 (0.0233),0.0040 (0.0011),0.7421 (0.0258)
github-GraphSAGE_rmia,0.9376 (0.0147),0.8442 (0.0066),0.5452 (0.0049),0.0208 (0.0029),0.9462 (0.0053),0.0037 (0.0013),0.9785 (0.0038)
github-GraphSAGE_rmia-gamma-2,0.9376 (0.0147),0.8442 (0.0066),0.5452 (0.0049),0.0208 (0.0030),0.2233 (0.0886),0.0037 (0.0013),0.8442 (0.1174)
github-GraphSAGE_rmia-offline,0.9376 (0.0147),0.8442 (0.0066),0.5428 (0.0049),0.0209 (0.0034),0.9490 (0.0119),0.0036 (0.0012),0.9801 (0.0056)
github-GraphSAGE_lira,0.9376 (0.0147),0.8442 (0.0066),0.5117 (0.0041),0.0100 (0.0017),15.7848 (3.0499),0.0012 (0.0004),91.6294 (28.0394)
github-GraphSAGE_lira-offline,0.9376 (0.0147),0.8442 (0.0066),0.5350 (0.0040),0.0128 (0.0014),-0.0001 (0.0002),0.0014 (0.0005),-0.0000 (0.0000)
github-GraphSAGE_MLP-attack-0hop,0.9376 (0.0147),0.8442 (0.0066),0.4997 (0.0041),0.0101 (0.0015),0.4501 (0.4616),0.0010 (0.0003),0.6457 (0.6730)
github-GraphSAGE_MLP-attack-comb,0.9376 (0.0147),0.8442 (0.0066),0.5018 (0.0036),0.0110 (0.0017),0.2001 (0.1128),0.0011 (0.0003),0.2927 (0.1323)
github-GraphSAGE_confidence,0.9376 (0.0147),0.8442 (0.0066),0.5137 (0.0045),0.0100 (0.0019),0.9993 (0.0004),0.0012 (0.0004),0.9999 (0.0001)
github-GraphSAGE_graph-lset-MI,0.9376 (0.0147),0.8442 (0.0066),0.5771 (0.0093),0.0283 (0.0028),0.6228 (0.0137),0.0057 (0.0016),0.7094 (0.0213)
github-GraphSAGE_graph-lset-MIA,0.9376 (0.0147),0.8442 (0.0066),0.5776 (0.0067),0.0296 (0.0028),0.6162 (0.0114),0.0065 (0.0017),0.6990 (0.0189)
github-GraphSAGE_graph-lset-MI-offline,0.9376 (0.0147),0.8442 (0.0066),0.5838 (0.0061),0.0312 (0.0050),0.6677 (0.0108),0.0063 (0.0019),0.7826 (0.0184)
github-GraphSAGE_graph-lset-MI-offline-no-scale,0.9376 (0.0147),0.8442 (0.0066),0.5815 (0.0074),0.0317 (0.0038),0.6862 (0.0121),0.0062 (0.0018),0.8105 (0.0152)
