,train_acc,test_acc,AUC,TPR@0.01FPR,threshold@0.01FPR,TPR@0.001FPR,threshold@0.001FPR
github-GraphSAGE_bmia,0.9575 (0.0000),0.8377 (0.0000),0.5299 (0.0000),0.0000 (0.0000),inf (nan),0.0000 (0.0000),inf (nan)
github-GraphSAGE_lset,0.9575 (0.0000),0.8377 (0.0000),0.5504 (0.0000),0.0201 (0.0000),0.6556 (0.0000),0.0030 (0.0000),0.7649 (0.0000)
github-GraphSAGE_lset-offline,0.9575 (0.0000),0.8377 (0.0000),0.5464 (0.0000),0.0179 (0.0000),0.6359 (0.0000),0.0030 (0.0000),0.7439 (0.0000)
github-GraphSAGE_rmia,0.9575 (0.0000),0.8377 (0.0000),0.5504 (0.0000),0.0201 (0.0000),0.9546 (0.0000),0.0030 (0.0000),0.9831 (0.0000)
github-GraphSAGE_rmia-gamma-2,0.9575 (0.0000),0.8377 (0.0000),0.5504 (0.0000),0.0201 (0.0000),0.3248 (0.0000),0.0030 (0.0000),0.9365 (0.0000)
github-GraphSAGE_rmia-offline,0.9575 (0.0000),0.8377 (0.0000),0.5471 (0.0000),0.0189 (0.0000),0.9464 (0.0000),0.0029 (0.0000),0.9771 (0.0000)
github-GraphSAGE_lira,0.9575 (0.0000),0.8377 (0.0000),0.5150 (0.0000),0.0103 (0.0000),18.9991 (0.0000),0.0014 (0.0000),88.5138 (0.0000)
github-GraphSAGE_lira-offline,0.9575 (0.0000),0.8377 (0.0000),0.5349 (0.0000),0.0106 (0.0000),-0.0000 (0.0000),0.0015 (0.0000),-0.0000 (0.0000)
github-GraphSAGE_MLP-attack-0hop,0.9575 (0.0000),0.8377 (0.0000),0.5007 (0.0000),0.0077 (0.0000),1.5044 (0.0000),0.0011 (0.0000),2.2272 (0.0000)
github-GraphSAGE_MLP-attack-comb,0.9575 (0.0000),0.8377 (0.0000),0.5011 (0.0000),0.0098 (0.0000),0.1495 (0.0000),0.0008 (0.0000),0.2761 (0.0000)
github-GraphSAGE_confidence,0.9575 (0.0000),0.8377 (0.0000),0.5224 (0.0000),0.0073 (0.0000),0.9997 (0.0000),0.0014 (0.0000),1.0000 (0.0000)
github-GraphSAGE_graph-lset-MI,0.9575 (0.0000),0.8377 (0.0000),0.5896 (0.0000),0.0291 (0.0000),0.6403 (0.0000),0.0065 (0.0000),0.7291 (0.0000)
github-GraphSAGE_graph-lset-MIA,0.9575 (0.0000),0.8377 (0.0000),0.5871 (0.0000),0.0326 (0.0000),0.6299 (0.0000),0.0040 (0.0000),0.7389 (0.0000)
github-GraphSAGE_graph-lset-MI-offline,0.9575 (0.0000),0.8377 (0.0000),0.5868 (0.0000),0.0341 (0.0000),0.6754 (0.0000),0.0067 (0.0000),0.7980 (0.0000)
github-GraphSAGE_graph-lset-MI-offline-no-scale,0.9575 (0.0000),0.8377 (0.0000),0.5909 (0.0000),0.0332 (0.0000),0.6937 (0.0000),0.0095 (0.0000),0.7945 (0.0000)
